,Anza,Carrizo,Cholame,Coachella,Garlock,Mojave
604,28,12,19,35,64,21
605,38,15,19,33,44,21
606,39,16,16,31,64,19
607,35,17,21,26,57,20
608,47,14,15,34,72,18
609,42,18,9,25,47,20
610,42,16,9,20,70,17
611,44,20,11,11,71,21
612,47,19,17,23,129,20
613,44,13,18,29,59,16
614,38,6,17,32,56,18
615,44,10,17,36,73,17
616,38,9,19,28,28,16
617,39,10,18,17,29,19
618,43,16,17,30,85,22
619,30,9,17,24,93,19
620,22,4,17,30,38,22
621,9,13,19,30,61,23
622,32,17,19,29,106,18
623,40,17,16,32,66,18
624,46,18,13,34,49,20
625,41,18,11,33,71,16
626,50,18,8,25,28,20
627,40,17,0,28,25,17
628,43,16,16,31,72,18
629,44,18,15,36,65,17
630,39,16,18,33,39,18
631,39,17,17,31,58,20
632,43,16,16,26,49,15
633,30,15,16,32,62,17
634,43,18,17,26,22,17
635,50,15,18,31,47,18
636,43,18,18,32,63,22
637,45,17,18,32,78,19
638,41,16,18,27,26,22
639,42,18,16,16,25,18
640,47,17,12,32,77,20
641,40,14,7,35,66,21
642,41,14,8,31,27,14
643,38,15,11,26,32,16
644,40,17,4,34,74,16
645,43,17,12,33,123,17
646,30,19,18,26,82,19
647,26,19,20,31,51,21
648,30,16,17,25,119,17
649,43,13,17,34,130,17
650,40,17,17,32,63,14
651,40,15,17,29,69,6
652,39,21,17,30,124,17
653,36,17,16,34,58,9
654,27,18,18,27,44,10
655,42,17,14,33,70,10
656,44,17,18,28,25,6
657,29,19,18,34,30,10
658,44,18,16,34,78,22
659,41,17,18,27,60,24
660,44,17,16,35,41,15
661,44,17,18,32,80,17
662,45,19,19,29,53,18
663,40,19,18,33,119,18
664,31,16,18,28,122,15
665,38,13,16,30,74,21
666,43,20,15,30,41,21
667,44,17,18,28,114,23
668,43,15,19,32,59,20
669,47,18,15,26,49,19
670,47,17,17,32,71,19
671,42,16,16,30,55,21
672,47,16,18,35,71,23
673,37,17,15,28,47,18
674,48,18,17,34,54,22
675,42,18,18,28,76,19
676,44,18,17,31,51,14
677,39,18,17,20,67,15
678,35,10,19,28,50,19
679,40,5,18,32,51,17
680,41,12,16,16,50,20
681,43,16,13,20,68,19
682,38,16,15,26,56,22
683,42,18,17,27,29,21
684,26,12,14,36,36,17
685,39,7,15,25,75,17
686,26,14,11,31,63,17
