San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
1,1,1,22,43,17
2,2,2,23,44,18
3,3,3,0,45,19
4,4,4,1,46,20
5,5,5,2,47,21
6,6,6,3,48,22
7,7,7,4,0,23
8,8,8,5,1,24
9,9,9,6,2,25
10,10,10,7,3,26
11,11,11,8,4,27
12,12,12,9,5,28
13,13,13,10,6,29
14,14,14,11,7,30
15,15,15,12,8,31
16,16,16,13,9,32
0,0,0,14,10,33
1,1,1,15,11,34
2,2,2,16,12,35
3,3,3,17,13,36
4,4,4,18,14,37
5,5,5,19,15,38
6,6,6,20,16,39
7,7,7,21,17,40
8,8,8,22,18,41
9,9,9,23,19,0
10,10,10,24,20,1
11,11,11,25,21,2
12,12,12,26,22,3
13,13,13,27,23,4
14,14,14,28,24,5
15,15,15,29,25,6
16,16,16,30,26,7
17,17,17,31,27,8
18,18,18,32,28,9
19,19,19,0,29,10
20,20,20,1,30,11
0,0,0,2,31,12
1,1,1,3,32,13
2,2,2,4,33,14
3,3,3,5,34,15
4,4,4,6,35,16
5,5,5,7,36,17
6,6,6,8,37,18
7,7,7,9,38,19
8,8,8,10,39,20
9,9,9,11,40,21
10,10,10,12,41,22
11,11,11,13,42,23
12,12,12,14,0,24
13,13,13,15,1,25
14,14,14,16,2,26
15,15,15,17,3,27
16,16,16,18,4,28
17,17,17,19,5,29
18,18,18,20,6,30
0,0,0,21,7,31
1,1,1,22,8,32
2,2,2,23,9,33
3,3,3,24,10,34
4,4,4,25,11,35
5,5,5,26,12,36
6,6,6,27,13,37
7,7,7,28,14,38
8,8,8,29,15,39
9,9,9,0,16,40
10,10,10,1,17,41
11,11,11,2,18,42
12,12,12,3,19,43
13,13,13,4,20,44
0,0,14,5,21,45
1,1,15,6,22,46
2,2,16,7,23,47
3,3,17,8,24,48
4,4,0,9,25,49
5,5,1,10,26,50
6,6,2,11,27,51
7,7,3,12,28,52
8,8,4,13,29,53
9,9,5,14,30,54
10,10,6,15,31,55
11,11,7,16,32,56
12,12,8,17,33,57
13,13,9,18,34,58
14,14,10,19,35,59
15,15,11,20,36,60
16,16,12,21,37,61
17,17,13,22,38,62
0,0,14,23,39,63
1,1,15,24,40,64
2,2,16,25,41,65
3,3,17,26,42,66
4,4,18,27,43,67
5,5,19,28,44,68
6,6,20,29,0,69
7,7,0,30,1,70
8,8,1,31,2,71
9,9,2,32,3,72
10,10,3,33,4,73
11,11,4,34,5,74
12,12,5,35,6,75
13,13,6,36,7,76
14,14,7,37,8,77
15,15,8,0,9,78
16,16,9,1,10,0
0,0,10,2,11,1
1,1,11,3,12,2
2,2,12,4,13,3
3,3,13,5,14,4
4,4,14,6,15,5
5,5,15,7,16,6
6,6,16,8,17,7
7,7,17,9,18,8
8,8,18,10,19,9
9,9,0,11,20,0
10,10,1,12,21,1
11,11,2,13,22,2
12,12,3,14,23,3
13,13,4,15,24,4
14,14,5,16,25,5
15,15,6,17,26,6
16,16,7,18,27,7
0,0,8,19,28,8
1,1,9,20,29,9
2,2,10,21,30,10
3,3,11,22,31,11
4,4,12,23,32,12
5,5,13,24,33,13
6,6,14,25,34,14
7,7,15,26,35,15
8,8,16,27,36,16
9,9,17,28,37,17
10,10,18,29,38,18
11,11,19,30,39,19
12,12,0,31,0,20
13,13,1,32,1,21
14,14,2,33,2,22
15,15,3,0,3,23
16,16,4,1,4,24
17,17,5,2,5,25
18,18,6,3,6,26
0,0,7,4,7,27
1,1,8,5,8,28
2,2,9,6,9,29
3,3,10,7,10,30
4,4,11,8,11,31
5,5,12,9,12,32
6,6,13,10,13,33
7,7,14,11,14,34
8,8,15,12,15,35
9,9,16,13,16,36
10,10,17,14,17,37
11,11,18,15,18,38
12,12,19,16,19,39
13,13,0,17,20,40
14,14,1,18,21,41
15,15,2,19,22,42
0,0,3,20,23,43
1,1,4,21,24,44
2,2,5,22,25,45
3,3,6,23,26,46
4,4,7,24,27,47
5,5,8,25,28,48
6,6,9,26,29,49
7,7,10,0,30,50
8,8,11,1,31,51
9,9,12,2,32,0
10,10,13,3,33,1
11,11,14,4,34,2
12,12,15,5,35,3
0,13,0,6,0,4
1,14,1,7,1,5
2,15,2,8,2,6
3,16,3,9,3,7
4,17,4,10,4,8
5,18,5,11,5,9
6,19,6,12,6,10
0,0,7,13,7,11
1,1,8,14,8,12
2,2,9,15,9,13
3,3,10,16,10,14
4,4,11,17,11,15
5,5,12,18,12,16
6,6,13,19,13,17
7,7,14,20,14,18
8,8,15,21,15,19
9,9,16,22,16,20
10,10,17,23,17,21
11,11,18,24,18,22
0,0,0,25,19,23
1,1,1,26,20,24
2,2,2,27,21,25
3,3,3,28,22,26
4,4,4,29,23,27
5,5,5,30,24,28
6,6,6,31,25,29
7,0,7,32,26,30
8,1,8,0,27,31
9,2,9,1,28,32
10,3,10,2,29,33
11,4,11,3,30,34
12,5,12,4,31,35
13,6,13,5,32,36
14,7,14,6,33,37
15,8,15,7,34,38
16,9,16,8,35,39
0,10,17,9,36,40
1,11,18,10,37,41
2,12,19,11,38,42
3,13,20,12,39,43
4,14,21,13,40,44
5,15,22,14,0,45
6,16,23,15,1,46
7,17,0,16,2,0
8,18,1,17,3,1
9,19,2,18,4,2
10,0,3,19,5,3
11,1,4,20,6,4
12,2,5,21,7,5
13,3,6,22,8,6
14,4,7,23,9,7
15,5,8,24,10,8
0,6,9,25,11,9
1,7,10,26,12,10
2,8,11,27,13,11
3,9,12,28,14,12
4,10,13,29,15,13
5,11,14,30,16,14
6,12,15,31,17,15
7,13,16,0,18,16
8,14,17,1,19,17
9,15,18,2,20,18
10,0,19,3,21,19
11,1,20,4,22,20
12,2,21,5,23,21
13,3,0,6,24,22
14,4,1,7,25,23
15,5,2,8,26,24
0,6,3,9,27,25
1,7,4,10,28,26
2,8,5,11,29,27
3,9,6,12,30,28
4,10,7,13,31,29
5,11,8,14,32,30
6,12,9,15,33,31
7,13,10,16,34,32
8,14,11,17,35,33
9,15,12,18,36,34
10,16,13,19,37,35
11,17,14,20,38,36
0,0,15,21,39,37
1,1,16,22,40,38
2,2,0,23,41,39
3,3,1,24,0,40
4,4,2,25,1,41
5,5,3,26,2,42
6,6,4,27,3,43
7,7,5,28,4,44
8,8,6,29,5,45
9,9,7,30,6,46
10,10,8,31,7,47
11,11,9,0,8,48
12,12,10,1,9,49
13,13,11,2,10,50
14,14,12,3,11,51
15,15,13,4,12,52
16,16,14,5,13,53
0,0,15,6,14,54
1,1,16,7,15,55
2,2,17,8,16,56
3,3,18,9,17,57
4,4,19,10,18,58
5,5,20,11,19,59
6,6,21,12,20,60
7,7,0,13,21,61
8,8,1,14,22,62
9,9,2,15,23,63
10,10,3,16,24,64
11,11,4,17,25,65
12,12,5,18,26,66
13,13,6,19,27,67
14,14,7,20,28,68
15,15,8,21,29,69
16,16,9,22,30,70
17,17,10,23,31,71
18,18,11,24,32,72
0,0,12,25,33,73
1,1,13,26,34,74
2,2,14,27,35,75
3,3,15,28,36,76
4,4,16,0,37,77
5,5,17,1,38,78
6,6,18,2,39,79
7,7,19,3,40,80
8,8,0,4,41,0
9,9,1,5,42,1
10,10,2,6,43,2
11,11,3,7,0,3
12,12,4,8,1,4
13,13,5,9,2,5
14,14,6,10,3,6
15,15,7,11,4,7
16,16,8,12,5,8
17,17,9,13,6,9
0,0,10,14,7,10
1,1,11,15,8,11
2,2,12,16,9,12
3,3,13,17,10,13
4,4,14,18,11,14
5,5,15,19,12,15
6,6,16,20,13,16
7,7,17,21,14,17
8,8,18,22,15,18
9,9,19,23,16,19
10,10,20,24,17,20
11,11,21,25,18,21
12,12,0,26,19,22
13,13,1,27,20,23
14,14,2,28,21,24
15,15,3,29,22,25
0,0,4,0,23,26
1,1,5,1,24,27
2,2,6,2,25,28
3,3,7,3,26,29
4,4,8,4,27,30
5,5,9,5,28,31
6,6,10,6,29,32
7,7,11,7,30,33
8,8,12,8,31,34
9,9,13,9,32,35
10,10,14,10,33,36
11,11,15,11,34,37
12,12,16,12,35,38
13,13,17,13,36,39
14,14,18,14,37,40
15,15,19,15,38,41
16,16,20,16,0,42
0,0,0,17,1,43
1,1,1,18,2,44
2,2,2,19,3,45
3,3,3,20,4,46
4,4,4,21,5,47
5,5,5,22,6,48
6,6,6,23,7,49
7,7,7,24,8,50
8,8,8,25,9,51
9,9,9,26,10,52
10,10,10,27,11,53
11,11,11,28,12,54
12,12,12,29,13,0
13,13,13,30,14,1
14,14,14,31,15,2
15,15,0,32,16,3
16,16,1,0,17,4
17,17,2,1,18,5
0,0,3,2,19,6
1,1,4,3,20,7
2,2,5,4,21,8
3,3,6,5,22,9
4,4,7,6,23,10
5,5,8,7,24,11
6,6,9,8,25,12
7,7,10,9,26,13
8,8,11,10,27,14
9,9,12,11,28,15
10,10,13,12,29,16
11,11,14,13,30,17
12,12,15,14,31,18
13,13,16,15,32,19
14,14,17,16,33,20
15,15,18,17,34,21
16,16,19,18,35,22
17,17,20,19,36,23
18,18,21,20,37,24
0,0,0,21,38,25
1,1,1,22,39,26
2,2,2,23,40,27
3,3,3,24,41,28
4,4,4,25,42,29
5,5,5,26,0,30
6,6,6,27,1,31
7,7,7,28,2,32
8,8,8,29,3,33
9,9,9,0,4,34
10,10,10,1,5,35
11,11,11,2,6,36
12,12,12,3,7,37
13,13,13,4,8,38
14,14,14,5,9,39
15,15,15,6,10,40
16,16,16,7,11,41
17,17,17,8,12,42
0,0,0,9,13,43
1,1,1,10,14,44
2,2,2,11,15,45
3,3,3,12,16,46
4,4,4,13,17,47
5,5,5,14,18,48
6,6,6,15,19,49
7,7,7,16,20,50
8,8,8,17,21,51
9,9,9,18,22,52
10,10,10,19,23,53
11,11,11,20,24,54
12,12,12,21,25,55
13,13,13,22,26,56
14,14,14,23,0,57
15,15,15,24,1,58
16,16,16,25,2,59
17,17,17,26,3,60
18,18,18,27,4,61
19,19,19,28,5,62
20,20,20,29,6,63
0,0,0,30,7,64
1,1,1,0,8,65
2,2,2,1,9,66
3,3,3,2,10,67
4,4,4,3,11,68
5,5,5,4,12,69
6,6,6,5,13,70
7,7,7,6,14,71
8,8,8,7,15,72
9,9,9,8,16,73
10,10,10,9,17,74
11,11,11,10,18,75
12,12,12,11,19,76
13,13,13,12,20,77
14,14,14,13,21,78
15,15,15,14,22,79
16,16,16,15,23,80
17,17,17,16,24,81
18,18,18,17,25,0
0,0,0,18,26,1
1,1,1,19,27,2
2,2,2,20,28,3
3,3,3,21,29,4
4,4,4,22,30,5
5,5,5,23,31,6
6,6,6,24,32,7
7,7,7,25,33,8
8,8,8,26,34,9
9,9,9,27,35,10
10,10,10,0,36,11
11,11,11,1,37,12
12,12,12,2,38,13
13,13,13,3,39,14
14,14,14,4,0,15
15,15,15,5,1,16
16,16,16,6,2,17
17,17,17,7,3,18
18,18,18,8,4,19
0,0,0,9,5,20
1,1,1,10,6,21
2,2,2,11,7,22
3,3,3,12,8,23
4,4,4,13,9,24
5,5,5,14,10,25
6,6,6,15,11,26
7,7,7,16,12,27
8,8,8,17,13,28
9,9,9,18,14,29
10,10,10,19,15,30
11,11,11,20,16,31
12,12,12,21,17,32
13,13,13,22,18,33
14,14,14,23,19,34
15,15,15,24,20,35
16,16,16,25,21,36
17,17,17,26,22,37
18,18,18,27,23,38
0,0,0,28,24,0
1,1,1,29,25,1
2,2,2,30,26,2
3,3,3,31,0,3
4,4,4,32,1,4
5,5,5,33,2,5
6,6,6,34,3,6
7,7,7,35,4,7
8,8,8,36,5,8
9,9,9,0,6,9
10,10,10,1,7,0
11,11,11,2,8,1
12,12,12,3,9,2
13,13,13,4,10,3
14,14,14,5,11,4
15,15,15,6,12,5
16,16,16,7,13,6
17,17,17,8,14,7
0,0,18,9,15,8
1,1,19,10,16,9
2,2,20,11,17,10
3,3,21,12,18,11
4,4,22,13,19,12
5,5,23,14,20,13
6,6,0,15,21,14
7,7,1,16,22,15
8,8,2,17,23,16
9,9,3,18,24,17
10,10,4,19,25,18
11,11,5,20,26,19
12,12,6,21,27,20
13,13,7,22,28,21
14,14,8,23,29,22
15,15,9,24,30,23
16,16,10,25,31,24
17,17,11,26,32,25
0,0,12,27,33,26
1,1,13,0,34,27
2,2,14,1,35,28
3,3,15,2,36,29
4,4,16,3,37,30
5,5,17,4,38,31
6,6,18,5,39,32
7,7,19,6,40,33
8,8,20,7,41,34
9,9,21,8,42,35
10,10,0,9,43,36
11,11,1,10,44,37
12,12,2,11,45,38
13,13,3,12,46,39
14,14,4,13,47,40
15,15,5,14,48,41
16,16,6,15,49,42
0,0,7,16,0,43
1,1,8,17,1,44
2,2,9,18,2,45
3,3,10,19,3,46
4,4,11,20,4,47
5,5,12,21,5,48
6,6,13,22,6,49
7,7,14,23,7,50
8,8,15,24,8,51
9,9,16,25,9,52
10,10,17,26,10,53
11,11,18,27,11,54
12,12,19,28,12,55
13,13,20,29,13,56
0,0,0,30,14,57
1,1,1,31,15,58
2,2,2,0,16,59
3,3,3,1,17,60
4,4,4,2,18,61
5,5,5,3,19,62
6,6,6,4,20,63
7,7,7,5,21,64
8,8,8,6,22,65
9,9,9,7,23,66
10,10,10,8,24,67
11,11,11,9,25,0
12,12,12,10,26,1
13,13,13,11,27,2
14,14,14,12,28,3
15,15,15,13,29,4
16,16,16,14,30,5
17,17,17,15,31,6
0,0,18,16,32,7
1,1,19,17,33,8
2,2,0,18,34,9
3,3,1,19,35,10
4,4,2,20,36,11
5,5,3,21,37,12
6,6,4,22,38,13
7,7,5,23,0,14
8,8,6,24,1,15
9,9,7,25,2,16
10,10,8,26,3,17
11,11,9,27,4,18
12,12,10,28,5,19
13,13,11,29,6,20
14,14,12,0,7,21
15,15,13,1,8,22
16,16,14,2,9,23
17,17,15,3,10,24
0,0,16,4,11,25
1,1,17,5,12,26
2,2,18,6,13,27
3,3,19,7,14,28
4,4,20,8,15,29
5,5,21,9,16,30
6,6,0,10,17,31
7,7,1,11,18,32
8,8,2,12,19,33
9,9,3,13,20,34
10,10,4,14,21,35
11,11,5,15,22,36
12,12,6,16,23,37
13,13,7,17,24,38
14,14,8,18,25,39
15,15,9,19,26,40
16,16,10,20,27,41
17,17,11,21,28,0
18,18,12,22,29,1
19,19,13,23,30,2
0,0,14,24,31,3
1,1,15,0,32,4
2,2,16,1,33,5
3,3,17,2,34,6
4,4,18,3,35,7
5,5,19,4,0,8
6,6,20,5,1,9
7,7,0,6,2,10
8,8,1,7,3,11
9,9,2,8,4,12
10,10,3,9,5,13
11,11,4,10,6,14
12,12,5,11,7,15
13,13,6,12,8,16
14,14,7,13,9,17
15,15,8,14,10,18
16,16,9,15,11,19
17,17,10,16,12,20
18,18,11,17,13,21
0,0,0,18,14,22
1,1,1,19,15,23
2,2,2,20,16,24
3,3,3,21,17,25
4,4,4,22,18,26
5,5,5,23,19,27
6,6,6,24,20,28
7,7,7,25,21,29
8,8,8,26,22,30
9,9,9,27,23,31
10,10,10,28,24,32
11,11,11,0,25,33
12,12,12,1,26,34
13,13,13,2,27,35
14,14,14,3,28,36
15,15,15,4,29,37
16,16,16,5,30,38
17,17,0,6,31,39
18,18,1,7,32,40
19,19,2,8,33,41
0,0,3,9,34,42
1,1,4,10,35,43
2,2,5,11,36,44
3,3,6,12,37,45
4,4,7,13,38,46
5,5,8,14,39,47
6,6,9,15,40,48
7,7,10,16,41,0
8,8,11,17,0,1
9,9,12,18,1,2
10,10,13,19,2,3
11,11,14,20,3,4
12,12,15,21,4,5
13,13,16,22,5,6
14,14,0,23,6,7
15,15,1,24,7,8
16,16,2,25,8,9
0,0,3,26,9,10
1,1,4,27,10,11
2,2,5,28,11,12
3,3,6,29,12,13
4,4,7,30,13,14
5,5,8,0,14,15
6,6,9,1,15,16
7,7,10,2,16,17
8,8,11,3,17,18
9,9,12,4,18,19
10,10,13,5,19,20
11,11,14,6,20,21
12,12,15,7,21,22
13,13,16,8,22,23
14,14,17,9,23,24
0,0,18,10,24,25
1,1,19,11,25,26
2,2,20,12,26,27
3,3,21,13,27,28
4,4,22,14,28,29
5,5,0,15,29,30
6,6,1,16,30,31
7,7,2,17,0,32
8,8,3,18,1,33
9,9,4,19,2,34
10,10,5,20,3,35
11,11,6,21,4,36
12,12,7,22,5,37
13,13,8,23,6,38
14,14,9,24,7,39
15,15,10,25,8,40
16,16,11,0,9,41
17,17,12,1,10,42
0,0,13,2,11,43
1,1,14,3,12,44
2,2,15,4,13,45
3,3,16,5,14,46
4,4,17,6,15,47
5,5,18,7,16,48
6,6,19,8,17,49
7,7,20,9,18,50
8,8,21,10,19,51
9,9,0,11,20,52
10,10,1,12,21,53
11,11,2,13,22,54
12,12,3,14,23,55
13,13,4,15,24,56
14,14,5,16,25,57
15,15,6,17,26,58
16,16,7,18,27,59
0,0,8,19,28,60
1,1,9,20,29,61
2,2,10,21,30,62
3,3,11,22,31,63
4,4,12,23,32,64
5,5,13,24,33,65
6,6,14,25,34,66
7,7,15,26,35,67
8,8,16,27,36,68
9,9,17,0,37,69
10,10,18,1,38,0
11,11,19,2,39,1
12,12,0,3,40,2
13,13,1,4,41,3
14,14,2,5,42,4
15,15,3,6,0,5
16,16,4,7,1,6
17,17,5,8,2,7
0,0,6,9,3,8
1,1,7,10,4,9
2,2,8,11,5,10
3,3,9,12,6,11
4,4,10,13,7,12
5,5,11,14,8,13
6,6,12,15,9,14
7,7,13,16,10,15
8,8,14,17,11,16
9,9,15,18,12,17
10,10,16,19,13,18
11,11,17,20,14,19
12,12,18,21,15,20
13,13,19,22,16,21
14,14,20,23,17,22
15,15,21,24,18,23
0,0,0,25,19,24
1,1,1,26,20,25
2,2,2,27,21,26
3,3,3,28,22,27
4,4,4,29,23,28
5,5,5,30,24,29
6,6,6,0,25,30
7,7,7,1,26,31
8,8,8,2,27,32
9,9,9,3,28,33
10,10,10,4,29,34
11,11,11,5,30,35
12,12,12,6,31,36
13,13,13,7,32,37
14,14,14,8,33,38
15,15,15,9,34,39
16,16,16,10,35,40
17,17,17,11,36,41
18,18,18,12,37,42
0,0,0,13,38,43
1,1,1,14,39,44
2,2,2,15,40,45
3,3,3,16,41,46
4,4,4,17,42,47
5,5,5,18,43,48
6,6,6,19,0,49
7,7,7,20,1,50
8,8,8,21,2,51
9,9,9,22,3,52
10,10,10,23,4,53
11,11,11,24,5,54
12,12,12,25,6,55
13,13,13,26,7,56
14,14,14,0,8,57
15,15,15,1,9,58
16,16,16,2,10,59
17,17,17,3,11,60
18,18,18,4,12,61
19,19,19,5,13,62
20,20,20,6,14,63
0,0,0,7,15,64
1,1,1,8,16,65
2,2,2,9,17,66
3,3,3,10,18,67
4,4,4,11,19,68
5,5,5,12,20,69
6,6,6,13,21,0
7,7,7,14,22,1
8,8,8,15,23,2
9,9,9,16,24,3
10,10,10,17,25,4
11,11,11,18,26,5
12,12,12,19,27,6
13,13,13,20,28,7
14,14,14,21,29,8
15,15,15,22,30,9
16,16,16,23,31,10
0,0,0,24,0,11
1,1,1,25,1,12
2,2,2,26,2,13
3,3,3,27,3,14
4,4,4,28,4,15
5,5,5,29,5,16
6,6,6,30,6,17
7,7,7,31,7,18
8,8,8,32,8,19
9,9,9,33,9,20
10,10,10,0,10,21
11,11,11,1,11,22
12,12,12,2,12,23
13,13,13,3,13,24
14,14,14,4,14,25
15,15,15,5,15,26
16,16,16,6,16,27
17,17,17,7,17,28
0,0,18,8,18,29
1,1,19,9,19,30
2,2,20,10,20,31
3,3,21,11,21,32
4,4,0,12,22,33
5,5,1,13,23,34
6,6,2,14,24,35
7,7,3,15,25,36
8,8,4,16,26,37
9,9,5,17,0,38
10,10,6,18,1,39
11,11,7,19,2,40
12,12,8,20,3,41
13,13,9,21,4,42
14,14,10,22,5,43
15,15,11,23,6,44
16,16,12,24,7,45
0,0,13,25,8,46
1,1,14,26,9,47
2,2,15,27,10,48
3,3,16,0,11,49
4,4,17,1,12,50
5,5,18,2,13,51
6,6,19,3,14,52
7,7,20,4,15,53
8,8,21,5,16,54
9,9,0,6,17,0
10,10,1,7,18,1
11,11,2,8,19,2
12,12,3,9,20,3
13,13,4,10,21,4
14,14,5,11,22,5
15,15,6,12,23,6
16,16,7,13,24,7
17,17,8,14,25,8
18,18,9,15,26,9
19,19,10,16,27,10
0,0,11,17,28,11
1,1,12,18,29,12
2,2,13,19,30,13
3,3,14,20,0,14
4,4,15,21,1,15
5,5,16,22,2,16
6,6,17,23,3,17
7,7,18,24,4,18
8,8,19,25,5,19
9,9,20,26,6,20
10,10,21,27,7,21
11,11,22,28,8,22
12,12,0,29,9,23
13,13,1,0,10,24
14,14,2,1,11,25
15,15,3,2,12,26
16,16,4,3,13,27
17,17,5,4,14,28
0,0,6,5,15,29
1,1,7,6,16,30
2,2,8,7,17,31
3,3,9,8,18,32
4,4,10,9,19,33
5,5,11,10,20,34
6,6,12,11,21,35
7,7,13,12,22,36
8,8,14,13,23,37
9,9,15,14,24,38
10,10,16,15,25,39
11,11,17,16,26,40
12,12,18,17,27,41
13,13,19,18,28,42
14,14,20,19,29,43
15,15,21,20,30,44
16,16,0,21,31,45
17,17,1,22,32,46
18,18,2,23,33,47
0,0,3,24,34,48
1,1,4,25,35,49
2,2,5,26,36,50
3,3,6,27,37,51
4,4,7,28,38,52
5,5,8,29,39,53
6,6,9,30,40,54
7,7,10,31,0,55
8,8,11,32,1,56
9,9,12,33,2,57
10,10,13,0,3,58
11,11,14,1,4,59
12,12,15,2,5,60
13,13,16,3,6,61
14,14,17,4,7,62
15,15,18,5,8,63
16,16,19,6,9,64
0,0,20,7,10,65
1,1,0,8,11,66
2,2,1,9,12,67
3,3,2,10,13,68
4,4,3,11,14,69
5,5,4,12,15,70
6,6,5,13,16,71
7,7,6,14,17,72
8,8,7,15,18,73
9,9,8,16,19,74
10,10,9,17,20,75
11,11,10,18,21,76
12,12,11,19,22,0
13,13,12,20,23,1
14,14,13,21,24,2
15,15,14,22,25,3
16,16,15,23,26,4
17,17,16,24,27,5
18,18,17,25,28,6
19,19,18,26,29,7
20,20,19,27,30,8
21,21,20,28,31,9
22,22,21,0,32,10
0,0,0,1,33,11
1,1,1,2,34,12
2,2,2,3,35,13
3,3,3,4,36,14
4,4,4,5,37,15
5,5,5,6,38,16
6,6,6,7,39,17
7,7,7,8,0,18
8,8,8,9,1,19
9,9,9,10,2,20
10,10,10,11,3,21
11,11,11,12,4,22
12,12,12,13,5,23
13,13,13,14,6,24
14,14,14,15,7,25
0,0,15,16,8,26
1,1,16,17,9,27
2,2,17,18,10,28
3,3,18,19,11,29
4,4,19,20,12,30
5,5,20,21,13,31
0,6,0,22,14,32
1,7,1,23,15,33
2,8,2,24,16,34
3,9,3,25,17,35
4,10,4,26,18,0
5,11,5,27,19,1
6,12,6,28,20,2
7,13,7,29,21,3
8,14,8,30,22,4
0,0,9,31,23,5
1,1,10,32,24,6
2,2,11,0,25,7
3,3,12,1,26,8
4,4,13,2,27,9
5,5,14,3,28,10
6,6,15,4,29,11
7,7,16,5,30,12
8,8,17,6,31,13
9,9,18,7,32,14
10,10,0,8,33,15
11,11,1,9,34,16
12,12,2,10,35,17
13,13,3,11,36,18
14,14,4,12,37,19
0,0,5,13,38,20
1,1,6,14,39,21
2,2,7,15,40,22
3,3,8,16,41,23
4,4,9,17,42,24
5,5,10,18,43,25
6,6,11,19,0,26
7,7,12,20,1,0
8,8,13,21,2,1
9,9,14,22,3,2
10,10,15,23,4,3
11,11,16,24,5,4
0,12,17,25,6,5
1,13,18,26,7,6
2,14,19,27,8,7
3,15,20,28,9,8
0,0,0,29,10,9
1,1,1,30,11,10
2,2,2,31,12,11
3,3,3,0,13,12
4,4,4,1,14,13
5,5,5,2,15,14
6,6,6,3,16,15
7,7,7,4,17,16
8,8,8,5,18,17
9,9,9,6,19,18
10,10,10,7,20,19
11,11,11,8,21,20
12,12,12,9,22,21
13,13,13,10,23,22
14,14,14,11,24,23
0,0,15,12,25,24
1,1,16,13,26,25
2,2,17,14,27,26
3,3,18,15,28,27
4,4,19,16,29,28
5,5,20,17,30,29
6,6,21,18,31,30
7,7,0,19,32,31
8,8,1,20,33,32
9,9,2,21,34,33
10,10,3,22,35,34
11,11,4,23,36,35
12,12,5,24,37,36
13,13,6,25,38,37
14,14,7,26,39,38
15,15,8,27,40,39
16,16,9,28,41,40
17,17,10,0,42,41
18,18,11,1,43,42
0,0,12,2,44,43
1,1,13,3,45,44
2,2,14,4,0,45
3,3,15,5,1,46
4,4,16,6,2,47
5,5,17,7,3,48
6,6,18,8,4,49
7,7,19,9,5,50
8,8,20,10,6,51
9,9,21,11,7,52
10,10,0,12,8,53
11,11,1,13,9,54
12,12,2,14,10,55
13,13,3,15,11,56
14,14,4,16,12,57
15,15,5,17,13,58
16,16,6,18,14,59
17,17,7,19,15,0
0,0,8,20,16,1
1,1,9,21,17,2
2,2,10,22,18,3
3,3,11,23,19,4
4,4,12,24,20,5
5,5,13,25,21,6
6,6,14,26,22,7
7,7,15,27,23,8
8,8,16,28,24,9
9,9,17,0,25,10
10,10,18,1,26,11
11,11,0,2,27,12
12,12,1,3,28,13
13,13,2,4,29,14
14,14,3,5,30,15
15,15,4,6,31,16
16,16,5,7,32,17
17,17,6,8,33,18
18,18,7,9,34,19
0,19,8,10,35,20
1,0,9,11,36,21
2,1,10,12,37,22
3,2,11,13,38,23
4,3,12,14,0,24
5,4,13,15,1,25
6,5,14,16,2,26
7,6,15,17,3,27
8,7,16,18,4,28
9,8,17,19,5,29
10,9,18,20,6,30
11,10,19,21,7,31
12,11,20,22,8,32
13,12,21,23,9,33
14,13,0,24,10,34
15,14,1,25,11,35
16,15,2,26,12,36
0,0,3,27,13,37
1,1,4,28,14,38
2,2,5,29,15,39
3,3,6,30,16,40
4,4,7,31,17,41
5,5,8,32,18,42
6,6,9,33,19,43
7,7,10,34,20,44
8,8,11,0,21,45
9,9,12,1,22,46
10,10,13,2,23,47
11,11,14,3,24,48
12,12,15,4,25,49
13,13,16,5,26,50
14,14,17,6,27,51
15,15,18,7,28,52
16,16,19,8,29,53
0,0,0,9,30,54
1,1,1,10,31,55
2,2,2,11,32,56
3,3,3,12,33,57
4,4,4,13,34,58
5,5,5,14,35,59
6,6,6,15,36,60
7,7,7,16,37,61
8,8,8,17,38,62
9,9,9,18,39,63
10,10,10,19,40,64
11,11,11,20,41,65
12,12,12,21,42,66
13,13,13,22,43,67
14,14,14,23,0,68
15,15,15,24,1,0
16,16,16,25,2,1
17,17,17,26,3,2
18,18,18,27,4,3
0,0,19,28,5,4
1,1,20,29,6,5
2,2,21,30,7,6
3,3,0,31,8,7
4,4,1,32,9,8
5,5,2,33,10,9
6,6,3,34,11,10
7,7,4,35,12,11
8,8,5,0,13,12
9,9,6,1,14,13
10,10,7,2,15,14
11,11,8,3,16,15
12,12,9,4,17,16
13,13,10,5,18,17
14,14,11,6,19,18
15,15,12,7,20,19
16,16,13,8,21,20
17,17,14,9,22,21
18,18,15,10,23,22
19,19,16,11,24,23
0,0,17,12,25,24
1,1,18,13,26,25
2,2,19,14,27,26
3,3,20,15,28,27
4,4,21,16,29,28
5,5,22,17,30,29
6,6,0,18,31,30
7,7,1,19,32,31
8,8,2,20,33,32
9,9,3,21,34,33
10,10,4,22,35,34
11,11,5,23,36,35
12,12,6,24,37,36
13,13,7,25,38,37
14,14,8,0,39,38
15,15,9,1,40,39
0,0,10,2,41,40
1,1,11,3,42,41
2,2,12,4,43,42
3,3,13,5,0,43
4,4,14,6,1,0
5,5,15,7,2,1
6,6,16,8,3,2
7,7,17,9,4,3
8,8,18,10,5,4
9,9,19,11,6,5
10,10,20,12,7,6
11,11,21,13,8,7
12,12,22,14,9,8
13,13,0,15,10,9
14,14,1,16,11,10
15,15,2,17,12,11
0,0,3,18,13,12
