,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
286,1,1,1,1,0,0,0,0,0,0,0,0
287,1,1,1,0,0,0,0,0,0,0,0,0
288,1,1,1,0,1,0,0,0,0,0,0,0
289,0,0,2,1,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,1,1,1,0,0,0
291,0,1,1,1,0,0,1,0,0,0,0,0
292,1,1,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,1,0,1,0,0,0,0,1,0,0
295,1,1,1,0,0,0,0,0,0,1,0,0
296,1,1,1,1,0,0,0,0,0,0,0,0
297,0,0,1,0,0,0,1,0,0,0,1,0
298,1,1,0,0,1,0,0,0,0,0,0,0
299,1,1,1,1,0,0,0,0,0,0,0,0
300,0,0,0,1,0,0,0,0,1,0,0,0
301,0,0,1,1,0,0,0,0,0,0,0,0
302,0,0,0,1,1,0,1,1,1,0,0,0
303,1,1,1,0,1,0,0,0,0,0,0,0
304,0,0,0,1,1,0,1,1,1,0,0,0
305,1,1,1,0,1,0,0,0,0,0,0,0
306,1,2,1,1,0,0,0,0,0,0,0,1
307,0,1,0,0,0,1,0,0,0,0,0,0
308,1,1,1,1,1,0,0,0,0,0,0,0
309,1,1,0,1,0,0,0,0,1,0,1,0
310,1,1,1,1,0,1,0,0,0,0,0,0
311,1,1,0,1,0,0,1,0,1,0,0,0
312,0,0,0,1,0,0,1,1,1,0,0,0
313,1,1,1,0,0,0,0,0,0,1,0,0
314,1,1,1,1,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,1,0,1,0,0,0
316,0,0,0,1,0,0,0,0,0,0,0,0
317,1,1,0,0,0,0,0,0,1,0,0,0
318,1,1,1,1,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,1,0,0,0,0,1,0,0,0
321,0,0,0,0,0,0,1,1,1,0,0,0
322,1,0,1,0,0,0,0,0,0,0,0,0
323,1,1,0,1,0,0,0,0,0,0,0,0
324,0,0,0,1,0,1,1,1,0,0,0,0
325,0,0,0,0,0,0,1,1,0,0,0,0
326,0,0,1,0,0,1,0,0,0,0,0,0
327,1,1,1,1,0,0,0,0,0,0,0,0
328,1,1,1,1,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0,0,0,0
330,1,1,1,0,0,0,0,0,0,0,0,0
331,1,1,0,0,1,0,0,0,1,0,0,0
332,0,1,0,0,0,0,0,0,0,0,1,0
333,0,0,0,0,0,0,1,1,1,0,0,0
334,0,0,1,0,1,0,0,0,0,0,0,0
335,1,1,1,0,0,1,1,0,0,0,0,0
336,1,1,0,1,0,0,0,0,0,0,0,0
337,1,1,1,1,0,1,0,0,0,0,0,0
338,1,1,0,1,1,0,1,1,1,0,0,0
339,0,0,0,0,0,0,1,1,1,1,0,0
340,1,1,1,0,0,0,0,0,0,0,0,0
341,0,0,1,0,0,0,0,0,0,1,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0
343,1,1,1,0,0,0,0,0,0,0,0,0
344,0,0,0,1,1,0,1,1,1,0,0,0
345,1,1,1,0,1,0,0,0,0,0,0,0
346,1,0,1,1,0,0,0,0,0,0,0,1
347,1,1,0,0,0,0,0,0,0,0,0,0
348,0,0,0,1,0,0,0,0,0,0,0,0
349,1,1,1,0,1,1,0,0,0,0,0,0
350,1,1,1,0,0,0,0,0,0,0,0,0
351,1,1,1,0,0,1,0,0,0,0,0,0
352,1,1,1,0,0,0,0,0,0,0,0,0
353,1,1,0,1,0,0,0,0,1,0,0,1
354,0,0,0,1,0,0,0,0,1,0,0,0
355,1,1,1,0,1,1,0,0,0,0,0,0
356,0,0,1,0,0,0,0,0,0,1,0,0
357,0,0,0,1,0,0,0,0,0,0,0,0
