,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev output,San Andreas (Cholame) rev output,San Andreas (Mojave S) output,San Andreas (Coachella) rev output,San Jacinto (Anza) rev output,Garlock (West) output
271,2,1,0,0,0,0,0,0,1,0,0,0
272,1,0,0,0,0,0,0,1,0,0,0,0
273,1,0,1,1,1,1,0,0,0,0,0,0
274,1,1,0,0,0,0,1,0,1,0,0,1
275,0,0,0,1,0,0,1,1,0,0,0,0
276,1,0,1,0,1,0,1,1,0,0,0,0
277,0,1,0,0,0,0,0,0,0,1,0,0
278,1,2,1,0,0,0,0,0,0,0,0,0
279,1,1,0,0,1,0,0,0,0,0,0,0
280,0,0,1,1,0,1,1,1,0,0,0,0
281,0,0,1,0,0,0,1,1,0,0,0,0
282,1,0,0,1,0,0,0,0,0,0,0,0
283,1,1,1,0,1,0,0,0,0,0,0,0
284,1,1,0,0,0,0,0,0,0,0,0,0
285,0,0,1,1,0,0,1,1,0,0,0,0
286,0,0,1,0,1,0,0,0,0,0,0,0
287,1,1,0,0,0,0,0,0,0,1,0,0
288,1,1,1,0,0,1,0,0,0,0,0,0
289,1,0,1,0,1,0,0,0,0,0,0,0
290,0,1,0,1,0,0,1,1,0,0,0,0
291,0,1,1,0,0,0,0,0,0,0,0,0
292,1,1,0,0,1,0,0,0,1,0,0,0
293,1,1,0,1,0,0,0,0,1,0,0,0
294,1,1,0,0,0,0,0,0,0,0,0,0
295,1,0,1,0,1,0,0,0,0,1,0,0
296,1,1,0,0,0,0,0,0,1,0,0,0
297,1,1,0,0,0,0,0,0,0,0,0,0
298,1,0,1,1,0,1,1,1,0,0,0,0
299,1,0,1,0,1,0,0,0,0,0,0,0
300,0,1,0,1,0,0,0,0,0,0,0,0
301,1,0,1,0,0,0,0,1,0,0,0,0
302,1,0,0,0,1,0,0,0,1,0,0,0
303,0,1,0,1,0,0,0,0,0,0,0,0
304,1,1,1,0,0,0,0,0,0,0,0,0
305,1,0,1,0,1,0,0,0,0,1,0,0
306,1,1,0,0,0,0,0,0,0,0,0,0
307,1,1,1,0,0,1,0,0,0,0,0,0
308,1,1,1,1,0,0,0,0,0,0,1,0
309,0,1,0,0,0,0,0,0,0,0,0,0
310,1,1,1,1,0,0,0,0,0,0,0,0
311,1,1,1,0,0,0,0,0,0,0,1,0
312,0,0,0,0,0,1,0,0,0,1,0,0
313,2,1,1,0,0,1,0,0,0,0,0,0
314,1,1,1,0,1,0,0,0,0,0,0,0
315,0,0,1,1,0,0,0,0,0,0,0,0
316,1,1,1,0,0,0,0,0,1,0,0,1
317,1,1,0,1,0,0,0,0,0,0,1,0
318,0,0,1,0,0,0,1,1,0,0,0,0
319,0,0,0,0,0,0,0,0,1,1,0,0
320,1,1,1,0,0,0,0,0,0,0,0,0
321,1,1,1,0,1,0,0,0,0,0,0,0
322,0,0,1,1,0,1,0,0,0,0,0,0
323,1,1,0,0,0,0,0,0,1,0,0,0
324,1,1,0,0,1,0,0,0,0,1,0,0
325,1,1,1,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0,0,0
327,1,1,1,1,0,0,0,0,0,0,1,0
328,1,1,1,0,0,1,0,0,0,0,0,0
329,1,1,0,1,0,0,0,0,1,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0
331,1,1,1,0,1,1,0,0,0,0,0,0
332,1,1,0,1,0,0,0,0,0,0,0,0
333,0,0,1,0,0,0,1,1,0,0,0,0
334,0,0,1,1,1,0,0,0,0,0,0,0
335,1,1,0,0,0,0,0,0,0,0,0,0
336,1,1,1,1,0,1,0,0,0,1,0,0
337,1,2,1,0,1,0,0,0,0,0,0,0
338,0,0,0,0,0,0,1,1,0,0,0,0
339,0,0,1,1,0,1,0,0,0,0,0,0
340,1,1,0,0,1,0,0,0,0,0,0,0
341,1,1,1,1,0,0,0,0,0,0,0,0
342,0,1,0,0,0,1,1,0,1,0,0,0
343,0,0,0,0,0,0,1,1,0,1,0,0
344,1,0,1,0,1,0,0,0,0,0,0,0
345,2,1,0,0,0,0,0,0,0,0,0,0
346,1,0,1,1,0,0,0,1,0,0,0,0
347,0,0,0,0,1,0,1,0,1,0,0,0
348,0,1,0,1,0,1,0,0,0,0,0,0
349,1,1,1,0,0,0,0,1,0,0,0,0
350,1,0,1,1,1,0,0,0,0,0,0,0
351,1,1,0,0,0,0,0,0,0,0,0,0
352,1,0,1,0,1,0,1,1,0,1,0,0
353,1,0,0,0,0,1,0,0,1,0,0,0
354,0,1,0,0,0,0,0,0,0,0,0,0
355,1,1,1,1,1,0,0,0,0,0,0,0
356,1,0,1,0,0,0,0,0,0,0,0,0
357,1,1,0,0,0,0,1,0,1,1,0,0
358,0,0,0,0,1,1,1,1,0,0,0,0
359,1,0,1,0,0,0,0,0,0,0,0,0
360,1,1,0,1,0,0,1,0,1,0,0,0
361,1,1,0,0,1,0,0,0,0,0,0,0
362,1,0,1,1,0,0,0,0,0,0,0,0
363,1,1,1,0,0,0,0,0,0,0,0,0
364,1,1,1,0,1,0,0,0,0,0,0,1
365,1,0,1,1,0,1,0,0,0,0,0,0
366,2,1,1,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0,1,0,0
368,1,1,1,0,1,0,0,0,0,0,0,0
369,1,1,0,1,0,1,0,0,1,0,0,0
370,1,1,0,0,0,0,0,0,0,0,0,0
371,0,0,1,0,1,0,1,1,0,0,0,0
372,0,0,0,1,0,0,0,0,0,0,0,0
373,1,1,1,0,0,0,0,0,0,0,0,0
374,0,0,0,1,1,0,1,1,1,0,0,1
375,0,0,0,0,0,0,0,0,0,0,0,0
376,1,1,1,1,0,0,0,0,0,0,0,0
377,1,1,1,0,0,0,0,0,0,0,0,0
378,0,0,0,0,1,0,0,0,0,1,0,0
379,1,1,1,0,0,0,0,0,0,0,0,0
380,1,1,1,0,0,0,0,0,0,1,0,0
381,0,0,0,0,1,0,1,1,1,0,0,0
382,0,0,0,0,0,1,0,0,0,0,0,0
383,1,1,1,1,0,0,0,0,0,0,0,0
384,0,0,0,0,1,0,0,0,0,0,0,0
385,1,1,1,0,0,0,0,0,0,1,0,0
386,1,1,1,0,0,0,0,0,0,0,0,0
387,0,0,0,1,0,0,1,1,1,0,1,0
