,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
292,0,0,0,1,0,0,0,0,1,0,0,0
293,1,1,1,1,0,0,0,0,0,0,0,0
294,1,1,0,0,0,0,0,0,0,0,0,0
295,1,1,0,1,0,0,0,0,0,0,0,0
296,1,1,1,0,0,0,0,0,0,0,0,0
297,1,1,0,1,0,0,0,0,1,0,0,0
298,1,1,0,1,0,0,0,0,1,0,0,0
299,0,0,1,0,0,1,0,0,0,0,0,0
300,0,0,0,1,0,1,0,0,0,0,0,0
301,1,1,1,1,0,0,0,0,0,0,0,0
302,0,1,0,0,0,0,0,0,0,0,0,0
303,1,1,0,1,1,0,0,0,0,0,0,0
304,1,0,0,0,0,0,1,1,1,0,0,0
305,0,0,0,1,0,0,1,1,1,0,0,0
306,0,1,1,0,0,0,1,0,0,0,0,0
307,0,0,1,1,0,1,0,0,0,0,0,0
308,1,1,1,0,1,0,0,0,0,0,0,0
309,0,0,1,1,0,0,0,0,0,0,0,0
310,0,1,0,1,0,0,1,0,1,0,0,0
311,1,1,0,1,0,0,0,0,0,0,0,0
312,1,1,0,0,1,0,0,0,0,0,0,0
313,0,0,0,0,0,0,0,1,0,0,0,0
314,0,0,1,1,0,0,1,1,0,0,0,1
315,1,0,1,1,0,0,1,1,0,0,0,0
316,1,1,1,1,1,0,0,0,0,0,0,0
317,1,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,1,0,1,1,1,1,0,0,0
319,0,0,0,0,0,0,0,0,0,1,0,0
320,1,1,0,1,0,0,0,0,0,0,0,0
321,0,0,0,0,1,0,1,0,1,1,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0
323,1,0,1,0,1,0,0,0,0,0,0,0
324,1,1,0,1,0,1,0,0,0,0,0,0
325,1,1,0,1,0,0,0,0,0,0,0,0
326,1,1,1,1,0,0,0,0,0,0,0,0
327,1,1,1,1,0,0,0,0,0,0,0,0
328,1,1,0,0,0,0,0,0,0,0,0,0
329,1,1,0,1,0,0,0,0,0,0,1,0
330,0,0,1,0,0,0,1,1,0,1,1,0
331,1,1,1,1,0,0,0,0,0,0,0,0
332,1,1,0,0,1,0,0,0,0,0,0,0
333,1,1,1,1,0,0,0,0,0,0,0,0
334,1,1,0,0,0,0,0,0,0,0,0,0
335,1,1,1,0,1,0,0,0,0,0,0,0
336,1,1,1,0,0,0,0,0,0,0,0,0
337,0,0,0,1,0,0,1,1,0,0,0,0
338,1,1,0,0,0,0,0,0,0,0,0,0
339,1,1,0,0,1,0,0,0,0,1,0,0
340,0,1,0,0,0,0,0,0,1,0,0,1
341,0,0,1,0,1,0,0,0,0,0,0,1
342,0,0,0,0,0,0,0,0,1,0,0,0
343,0,0,0,0,0,0,1,1,1,0,0,0
344,0,0,1,1,0,1,1,1,0,0,0,0
345,1,1,2,0,0,0,0,0,0,0,0,0
346,1,1,1,1,0,0,0,0,0,0,0,0
347,1,1,0,0,1,1,0,0,0,0,0,0
348,0,0,0,1,0,0,0,0,0,0,0,0
349,0,1,0,1,0,1,0,0,0,0,0,0
350,1,1,0,1,0,0,0,0,1,0,0,0
351,1,1,1,0,0,0,0,0,0,1,0,0
352,1,1,0,1,0,1,0,0,0,0,0,0
353,0,0,0,0,1,0,1,1,1,0,0,0
354,1,1,1,1,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,1,1,1,0,0,0
356,1,1,1,0,0,1,0,0,0,0,0,0
357,0,0,0,0,0,0,1,1,1,1,0,0
358,1,1,1,0,0,0,0,0,0,1,0,0
359,1,1,0,0,1,1,0,0,0,0,0,0
360,1,1,1,1,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,1,1,0,0,0,0
362,0,0,1,0,0,0,1,1,0,0,0,0
363,0,0,0,1,0,0,0,0,1,0,0,0
364,0,0,0,0,0,0,1,1,0,0,0,0
365,0,0,1,0,0,0,0,0,0,0,0,0
366,1,1,1,1,0,0,0,0,0,0,0,0
367,1,0,1,0,0,0,0,0,0,0,0,0
368,0,0,0,1,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0
370,1,1,1,0,1,0,0,0,0,1,0,0
371,1,0,1,0,0,0,0,0,0,0,0,0
372,1,1,1,1,0,0,0,0,0,0,0,0
373,0,0,1,0,0,0,0,0,0,0,0,0
374,1,1,1,0,1,0,0,0,0,0,0,0
375,1,1,0,1,0,0,0,0,1,0,0,0
376,0,0,1,0,0,1,0,0,0,0,0,0
377,0,0,0,0,0,0,1,1,1,0,0,0
378,0,0,0,1,1,0,1,0,1,0,0,0
379,1,1,0,0,1,0,0,0,0,1,0,0
380,1,1,1,0,0,0,0,0,0,0,0,0
381,1,1,1,1,0,0,0,0,0,0,0,0
382,1,1,1,0,1,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0
384,1,1,0,0,0,0,0,0,0,0,0,0
385,1,1,0,0,0,0,0,0,1,0,0,0
386,2,1,0,0,1,1,0,0,0,0,0,0
387,0,0,0,0,1,1,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,1,0
389,0,0,1,0,0,0,0,0,0,0,1,1
390,0,0,0,0,1,0,0,0,0,0,0,0
391,1,1,1,0,0,0,0,0,0,0,0,0
392,0,0,0,0,1,0,1,1,1,0,0,0
393,0,0,0,0,0,0,1,1,1,0,0,0
394,1,2,1,0,0,0,0,0,0,0,0,0
395,1,1,1,1,0,0,0,0,0,0,0,0
396,0,0,0,0,1,1,0,0,0,0,0,0
397,1,1,1,0,0,0,0,0,0,0,0,0
398,0,0,1,0,1,1,1,1,0,0,0,0
399,1,1,1,0,1,1,0,0,0,0,0,0
400,2,1,1,0,0,0,0,0,0,0,0,0
401,0,0,0,0,1,0,0,0,0,0,0,1
402,1,1,0,0,1,0,0,0,1,0,0,0
403,1,1,1,0,0,0,0,0,0,0,1,0
404,1,1,0,1,0,0,0,0,1,0,0,0
405,1,0,1,0,1,0,0,0,0,0,0,0
406,0,0,1,0,0,0,1,1,0,0,0,0
407,1,1,0,0,1,0,0,0,1,0,0,0
408,1,0,0,0,0,0,0,0,0,0,0,0
409,1,2,0,1,0,0,0,0,0,0,0,0
410,0,0,0,1,0,0,1,1,0,0,0,0
411,1,1,0,0,1,0,0,0,0,1,0,0
412,0,0,1,0,0,1,0,0,0,0,0,0
413,0,0,1,1,0,0,1,1,0,0,0,0
414,1,1,1,0,0,1,0,0,0,0,0,0
415,0,0,0,1,0,0,1,1,0,0,0,0
416,1,1,1,0,1,0,0,0,0,0,0,0
417,1,1,0,1,0,0,0,0,0,0,1,0
418,1,1,1,1,0,1,0,0,0,0,0,0
419,0,0,0,0,1,0,0,0,0,0,0,0
420,0,0,1,0,0,1,1,1,0,0,0,0
421,1,1,0,0,0,0,0,0,0,0,0,0
422,0,0,1,1,0,1,0,0,0,0,0,0
423,1,1,1,0,1,0,0,0,0,0,0,0
424,1,1,0,0,0,0,0,0,0,0,0,0
425,1,2,1,1,0,0,0,0,0,0,1,0
426,1,1,1,0,0,0,0,0,0,0,0,1
427,2,1,1,0,1,0,0,0,0,0,0,1
428,0,0,0,0,0,1,0,0,0,0,0,0
429,1,1,0,0,0,0,0,0,0,0,0,0
430,1,1,1,1,0,0,0,0,0,0,0,0
431,0,0,0,1,0,0,0,0,1,0,0,0
432,0,0,1,0,0,0,0,0,0,0,0,0
433,1,1,1,1,0,0,0,0,0,0,0,0
434,1,1,0,0,0,0,0,0,0,0,0,0
435,1,1,1,0,1,0,0,1,0,0,0,0
436,1,1,0,0,1,0,0,0,1,0,0,0
437,1,1,1,0,0,0,0,0,0,0,1,0
438,0,0,0,0,0,0,0,0,0,0,0,0
439,1,1,1,1,1,0,0,0,0,0,0,0
440,1,1,1,1,0,1,0,0,0,0,0,0
441,1,1,1,1,0,1,0,0,0,0,0,0
442,1,1,1,0,1,0,0,0,0,0,0,0
443,1,1,1,1,0,0,0,0,0,0,0,0
444,1,1,0,1,0,0,0,0,1,0,0,0
445,1,0,1,0,1,0,0,0,0,0,0,0
446,1,1,0,1,0,1,0,0,0,0,0,0
447,1,1,1,0,0,0,0,0,0,0,0,0
448,1,1,1,1,0,1,0,0,0,0,0,0
449,1,1,1,0,0,1,0,0,0,0,0,0
450,0,0,0,0,0,0,1,1,0,0,0,0
451,0,0,1,1,1,1,1,1,0,0,0,0
452,0,0,0,0,0,0,0,0,0,0,0,0
453,0,0,0,0,0,1,0,0,0,0,0,0
454,1,1,1,0,0,0,0,0,0,0,0,0
455,0,0,0,1,0,0,0,0,0,0,0,0
456,1,1,1,0,0,0,0,0,0,0,0,0
457,1,1,1,0,0,0,0,0,0,0,0,0
458,0,0,1,0,0,0,0,0,0,0,0,0
459,1,1,0,0,0,0,0,0,1,1,0,0
460,1,1,0,0,0,0,0,0,1,0,0,0
461,1,0,0,0,0,0,1,1,1,0,0,0
462,0,0,1,0,1,1,1,1,0,0,0,0
463,0,0,0,1,0,0,0,0,0,0,0,0
464,0,0,1,1,0,1,1,1,0,0,0,0
465,0,0,0,1,0,0,0,0,0,0,0,0
466,1,1,1,0,0,1,0,0,0,0,0,0
467,0,0,1,0,0,0,0,0,0,0,0,0
468,1,1,0,0,1,0,0,0,0,0,0,0
469,1,1,1,1,0,0,0,0,0,0,0,0
470,1,1,1,1,0,1,0,0,0,0,0,0
471,2,1,0,0,0,0,0,0,0,1,0,0
472,0,1,1,1,0,0,0,0,0,0,0,0
473,1,1,0,0,0,0,0,0,0,0,0,0
474,0,0,0,1,0,0,1,1,0,0,0,0
475,1,0,1,0,1,0,0,1,0,1,0,0
476,0,0,1,1,0,0,0,0,0,0,0,0
477,1,2,1,0,0,1,0,0,0,0,0,0
478,0,0,1,1,0,0,0,0,0,0,0,0
479,1,1,0,0,0,0,0,0,0,0,0,0
480,1,0,1,1,1,0,0,0,0,0,0,0
481,1,1,1,1,0,0,0,0,0,0,0,0
482,0,0,1,0,0,1,0,0,0,0,0,0
483,0,0,1,1,0,1,0,0,0,0,0,0
484,0,0,1,0,1,0,0,0,0,0,0,0
485,1,1,1,1,0,0,0,0,0,0,0,0
486,2,1,1,0,0,0,0,0,0,0,0,0
487,0,0,0,0,0,1,0,0,0,0,0,0
488,0,1,0,1,0,0,0,0,0,0,0,0
489,1,1,1,1,0,0,0,0,0,0,0,0
490,1,1,1,0,1,0,0,0,0,0,0,0
491,1,1,1,0,0,0,0,0,0,0,0,0
492,1,1,1,1,0,0,0,0,0,0,0,0
493,0,1,0,0,0,1,0,0,0,0,0,0
494,1,1,1,0,0,1,0,0,0,0,0,0
495,0,0,1,1,0,1,1,1,0,0,0,0
496,0,0,0,0,0,0,1,1,1,0,0,0
497,1,1,0,1,0,0,0,0,0,0,0,0
498,0,0,1,1,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0,0,1,0,0
500,1,1,0,0,0,0,0,0,1,0,0,0
501,0,0,1,0,1,0,1,1,0,0,0,0
502,0,0,1,1,0,1,1,1,0,0,0,0
503,0,0,0,0,0,0,0,0,0,1,0,0
504,0,0,1,1,0,0,0,0,0,0,0,0
505,1,0,0,1,0,0,0,1,1,0,1,0
506,0,0,0,0,0,0,0,0,0,0,0,1
507,1,1,0,0,0,0,0,0,0,0,0,0
508,1,0,0,1,0,0,0,1,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0,1
510,0,0,0,0,0,0,0,0,0,0,0,0
511,1,1,0,0,0,0,0,0,0,0,0,0
512,2,1,0,1,0,0,0,0,0,0,0,0
513,1,1,1,0,1,1,0,0,0,1,0,0
