,s0,s1,s2,s3,s4,s5,q0,q1,q2,q3,q4,q5
270,0,0,1,0,0,0,0,0,0,0,0,0
271,0,0,1,0,0,0,0,0,0,0,0,0
272,0,0,1,0,0,0,0,0,0,0,0,0
273,0,0,1,0,0,0,1,1,0,0,0,0
274,1,1,1,0,0,0,0,0,0,0,0,0
275,1,1,0,0,0,0,0,0,0,0,0,0
276,1,1,0,0,0,0,0,0,0,0,0,0
277,1,1,0,0,0,0,0,0,1,0,0,0
278,1,1,1,0,0,0,0,0,0,1,0,0
279,1,1,1,1,0,0,0,0,0,0,0,0
280,1,1,1,1,0,0,0,0,0,0,0,0
281,1,1,1,1,0,0,0,0,0,0,0,0
282,1,1,1,1,0,0,0,0,0,0,0,0
283,1,1,1,1,0,0,0,0,0,0,0,0
284,0,0,1,1,0,0,0,0,0,0,0,0
285,0,0,1,1,0,0,0,0,1,0,1,0
286,0,0,2,1,1,0,0,0,0,0,0,0
287,0,0,2,1,1,0,0,0,0,0,0,0
288,0,0,1,1,1,0,0,0,0,0,0,0
289,0,0,1,0,1,0,1,1,0,0,0,0
290,1,1,1,0,1,0,0,0,0,0,0,0
291,1,1,1,0,1,0,0,0,0,0,0,0
292,1,1,1,0,1,0,0,0,0,0,0,0
293,1,1,1,0,1,0,0,0,0,0,0,0
294,1,1,1,0,1,0,0,0,0,0,0,0
295,1,1,1,0,1,0,0,0,0,0,0,0
296,1,1,0,0,0,0,0,0,1,0,0,0
297,1,1,1,0,0,0,0,0,0,0,0,0
298,1,1,1,0,0,0,0,0,0,0,0,0
299,1,1,1,0,0,0,0,0,0,0,0,0
300,0,0,1,0,0,0,0,0,0,0,0,0
301,0,0,1,0,0,0,0,0,0,0,0,0
302,0,0,1,0,0,0,0,0,0,0,0,0
303,0,0,1,0,0,0,0,0,0,0,0,0
304,0,0,1,0,0,0,0,0,0,0,0,0
305,0,0,1,0,0,0,0,0,0,0,0,0
306,0,0,1,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,1,1,0,0,0,0
308,1,1,0,0,0,0,0,0,0,0,0,0
309,1,1,0,0,0,0,0,0,0,0,0,0
310,1,1,0,0,0,0,0,0,0,1,0,0
