,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
19927,0,5,0,7,4,14
19928,1,0,1,8,5,15
19929,2,1,2,9,6,16
19930,3,2,3,10,7,17
19931,4,3,4,11,8,18
19932,0,0,0,0,9,19
19933,1,1,1,1,10,20
19934,2,2,2,2,11,21
19935,3,3,3,3,12,22
19936,4,4,4,4,0,23
19937,5,5,5,5,1,24
19938,6,6,6,6,2,25
19939,0,0,0,7,3,26
19940,1,1,1,0,4,0
19941,2,2,2,1,5,1
19942,3,3,3,2,6,2
19943,4,4,4,3,7,3
19944,0,0,5,4,8,4
19945,1,1,6,5,9,5
19946,2,2,0,6,10,6
19947,3,3,1,7,11,7
19948,4,4,2,8,12,8
19949,5,5,3,9,13,9
19950,0,0,4,10,0,10
19951,1,1,5,11,1,11
19952,2,2,6,0,2,12
19953,3,3,0,1,3,0
19954,4,4,1,2,4,1
19955,0,0,2,3,5,2
19956,1,1,3,4,6,3
19957,2,2,4,5,7,4
19958,3,3,5,6,8,5
19959,4,4,0,7,9,0
19960,5,5,1,8,10,1
19961,0,0,2,9,11,2
19962,1,1,3,0,12,3
19963,2,2,4,1,13,4
19964,3,3,5,2,14,5
19965,4,4,6,3,0,6
19966,0,0,0,4,1,7
19967,1,1,1,5,2,8
19968,2,2,2,6,3,9
19969,3,3,3,7,4,10
19970,4,4,4,8,5,11
19971,5,5,5,9,6,12
19972,0,0,0,10,7,13
19973,1,1,1,11,8,14
19974,2,2,2,12,9,15
19975,3,3,3,0,10,16
19976,4,4,4,1,11,17
19977,5,5,5,2,12,18
19978,0,0,6,3,13,19
19979,1,1,0,4,14,20
19980,2,2,1,5,15,21
19981,3,3,2,6,0,22
19982,4,4,3,7,1,23
19983,5,5,4,8,2,0
19984,6,6,5,9,3,1
19985,0,0,6,0,4,2
19986,1,1,0,1,5,3
19987,2,2,1,2,6,4
19988,3,3,2,3,7,5
19989,4,4,3,4,8,6
19990,5,5,4,5,9,7
19991,0,0,5,6,10,8
19992,1,1,0,7,11,9
19993,2,2,1,8,12,10
19994,3,3,2,9,13,11
19995,4,4,3,10,14,12
19996,0,0,4,11,0,13
19997,1,1,5,0,1,14
19998,2,2,6,1,2,15
19999,3,3,0,2,3,16
20000,4,4,1,3,4,17
20001,5,5,2,4,5,18
20002,0,0,3,5,6,19
20003,1,1,4,6,7,20
20004,2,2,5,7,8,21
20005,3,3,6,8,9,22
20006,4,4,0,0,10,23
20007,5,5,1,1,11,24
20008,6,6,2,2,12,25
20009,0,0,3,3,13,26
20010,1,1,4,4,14,27
20011,2,2,5,5,15,28
20012,3,3,6,6,0,29
20013,4,4,0,7,1,30
20014,5,5,1,8,2,31
20015,0,0,2,9,3,32
20016,1,1,3,0,4,33
20017,2,2,4,1,5,34
20018,3,3,5,2,6,35
20019,4,4,0,3,7,36
20020,5,5,1,4,8,37
20021,0,0,2,5,9,38
20022,1,1,3,6,10,39
20023,2,2,4,7,11,40
20024,3,3,5,0,12,41
20025,4,4,6,1,13,42
20026,0,0,0,2,0,0
20027,1,1,1,3,1,1
20028,2,2,2,4,2,2
20029,3,3,3,5,3,3
20030,4,4,4,6,4,4
20031,5,5,5,7,5,5
20032,0,0,0,8,6,6
20033,1,1,1,9,7,7
20034,2,2,2,0,8,8
20035,3,3,3,1,9,9
20036,4,4,4,2,10,10
20037,5,5,5,3,11,11
20038,6,6,6,4,12,12
20039,0,0,0,5,13,13
20040,1,1,1,6,0,14
20041,2,2,2,7,1,15
20042,3,3,3,8,2,16
20043,4,4,4,9,3,17
20044,0,0,0,10,4,18
20045,1,1,1,11,5,19
20046,2,2,2,0,6,20
20047,3,3,3,1,7,21
20048,4,4,4,2,8,0
20049,5,5,5,3,9,1
20050,0,0,6,4,10,2
20051,1,1,0,5,11,3
20052,2,2,1,6,0,4
20053,3,3,2,7,1,5
20054,4,4,3,8,2,6
20055,5,5,4,9,3,7
20056,0,0,5,10,4,8
20057,1,1,6,11,5,9
20058,2,2,0,0,6,10
20059,3,3,1,1,7,11
20060,4,4,2,2,8,12
20061,5,5,3,3,9,13
20062,6,6,4,4,10,14
20063,0,0,0,5,11,15
20064,1,1,1,6,12,16
20065,2,2,0,7,13,17
20066,3,3,1,8,0,18
20067,4,4,2,9,1,19
20068,0,0,3,0,2,0
20069,1,1,4,1,3,1
20070,2,2,0,2,4,2
20071,3,3,1,3,5,3
20072,4,4,2,4,6,4
20073,0,0,3,5,7,5
20074,1,1,4,6,8,6
20075,2,2,5,0,9,7
20076,3,3,0,1,10,8
20077,4,4,1,2,11,9
20078,5,5,2,3,12,10
20079,0,0,3,4,13,11
20080,1,1,4,5,14,12
20081,2,2,5,6,0,13
20082,3,3,0,7,1,14
20083,4,4,1,8,2,15
20084,5,5,2,9,3,16
20085,0,0,3,0,4,17
20086,1,1,4,1,5,18
20087,2,2,5,2,6,19
20088,3,3,0,3,7,20
20089,4,4,1,4,8,21
20090,0,0,2,5,9,22
20091,1,1,3,6,10,23
20092,2,2,4,7,11,24
20093,3,3,5,8,12,0
20094,4,4,6,9,0,1
20095,0,0,0,10,1,2
20096,1,1,1,0,2,3
20097,2,2,2,1,3,4
20098,3,3,3,2,4,5
20099,4,4,4,3,5,6
20100,5,5,5,4,6,7
20101,0,0,0,5,7,8
20102,1,1,1,6,8,9
20103,2,2,2,7,9,10
20104,3,3,3,8,10,11
20105,4,4,4,9,11,12
20106,5,5,5,0,12,0
20107,6,6,6,1,13,1
20108,0,0,0,2,0,2
20109,1,1,1,3,1,3
20110,2,2,2,4,2,4
20111,3,3,3,5,3,5
20112,4,4,4,6,4,6
20113,5,5,5,7,5,7
20114,0,0,0,8,6,8
20115,1,1,1,9,7,9
20116,2,2,2,0,8,10
20117,3,3,3,1,9,11
20118,4,4,4,2,0,12
20119,5,0,0,3,1,13
20120,0,1,1,4,2,14
20121,1,2,2,5,3,15
20122,2,3,3,6,4,16
20123,3,4,4,7,5,17
20124,4,0,5,8,6,18
20125,5,1,6,9,0,0
20126,0,2,0,10,1,0
20127,1,3,1,0,2,1
20128,2,4,2,1,3,2
20129,3,5,3,2,0,3
20130,0,0,4,3,1,4
20131,1,1,5,4,2,5
20132,2,2,6,5,3,6
20133,0,3,0,6,4,7
20134,1,4,1,7,5,8
20135,2,5,2,8,6,9
20136,3,6,3,9,7,10
20137,4,0,4,0,8,11
20138,0,1,5,1,0,12
20139,1,2,0,2,1,13
20140,2,3,1,3,2,14
20141,3,4,2,4,3,15
20142,4,5,3,5,4,16
20143,0,0,4,6,5,17
20144,1,1,5,7,6,0
20145,2,2,0,8,0,1
20146,3,3,1,9,1,2
20147,4,4,2,10,2,3
20148,5,5,3,0,3,4
20149,0,0,4,1,4,5
20150,1,1,5,2,5,6
20151,2,2,0,3,6,7
20152,3,3,1,4,0,8
20153,4,4,2,5,1,9
20154,5,5,3,6,2,10
20155,0,0,4,7,3,11
20156,1,1,5,0,4,12
20157,2,2,6,1,5,13
20158,3,3,7,2,6,14
20159,4,4,0,3,7,15
20160,5,5,1,4,8,16
20161,0,0,2,5,9,17
20162,1,1,3,6,10,18
20163,2,2,4,0,11,19
20164,3,3,5,1,12,20
20165,4,4,6,2,0,21
20166,0,0,0,3,1,0
20167,1,1,1,4,2,1
20168,2,2,2,5,3,2
20169,3,3,3,6,4,3
20170,0,4,4,7,5,4
20171,1,5,0,8,6,5
20172,0,0,1,9,7,6
20173,1,1,2,10,8,7
20174,2,2,3,11,9,0
20175,3,3,4,0,10,1
20176,0,4,5,1,11,2
20177,1,5,6,2,12,3
20178,2,6,7,3,13,4
20179,0,0,0,4,14,5
20180,1,1,1,5,15,6
20181,0,2,2,6,16,7
20182,1,3,3,7,0,8
20183,2,4,4,8,1,9
20184,3,5,5,9,2,10
20185,0,0,6,10,3,11
20186,1,1,0,0,4,12
20187,2,2,1,1,5,13
20188,3,3,2,2,6,14
20189,4,4,3,3,7,15
20190,5,5,4,4,8,16
20191,0,0,5,5,9,17
20192,1,1,6,6,10,18
20193,2,2,0,7,11,19
20194,3,3,1,0,12,20
20195,4,4,2,1,13,21
20196,0,0,3,2,14,22
20197,1,1,4,3,0,23
20198,2,2,5,4,1,24
20199,0,3,0,5,2,25
20200,1,4,1,6,3,26
20201,2,5,2,7,4,27
20202,0,0,3,8,5,28
20203,1,1,4,9,6,29
20204,2,2,5,0,7,30
20205,3,3,6,1,8,31
20206,0,4,0,2,9,0
20207,1,5,1,3,0,1
20208,2,0,2,4,1,2
20209,3,1,3,5,2,3
20210,4,2,4,6,3,4
20211,5,3,5,7,4,0
20212,6,4,6,8,5,1
20213,0,5,0,9,6,2
20214,1,0,1,0,7,3
20215,2,1,2,1,8,4
20216,3,2,3,2,9,5
20217,4,3,4,3,10,6
20218,0,0,5,4,11,7
20219,1,1,6,5,12,8
20220,2,0,0,6,13,9
20221,3,1,1,7,14,10
20222,4,2,2,8,0,11
20223,0,0,3,9,1,12
20224,1,1,4,0,2,13
20225,2,2,5,1,3,14
20226,3,3,6,2,4,15
20227,4,4,7,3,5,16
20228,0,0,0,4,6,17
20229,1,1,1,5,7,18
20230,2,2,2,6,8,19
20231,3,3,3,7,9,20
20232,0,0,4,8,10,21
20233,1,1,5,9,11,22
20234,2,2,6,10,12,23
20235,0,3,0,0,13,24
20236,1,4,1,1,14,0
20237,2,5,2,2,15,1
20238,0,0,3,3,0,2
20239,1,1,4,4,1,3
20240,2,2,5,5,2,4
20241,0,3,0,6,3,5
20242,1,4,1,7,4,6
20243,2,5,2,8,5,7
20244,0,0,3,9,6,8
20245,1,1,4,0,7,9
20246,2,2,5,1,8,10
20247,3,3,6,2,9,11
20248,0,4,0,3,10,12
20249,1,5,1,4,11,13
20250,2,6,2,5,12,14
20251,0,0,3,6,13,15
20252,1,1,4,7,14,16
20253,2,2,5,8,0,17
20254,0,3,0,9,1,0
20255,1,4,1,10,2,1
20256,2,5,2,0,3,2
20257,3,6,3,1,4,3
20258,0,0,4,2,5,4
20259,1,1,5,3,6,5
20260,2,2,6,4,7,6
20261,0,3,0,5,8,7
20262,1,4,1,6,9,8
20263,2,5,2,7,10,9
20264,3,6,3,8,11,10
20265,0,0,4,9,12,11
20266,1,1,5,0,13,12
20267,0,2,0,1,14,13
20268,1,3,1,2,0,14
20269,2,4,2,3,1,15
20270,3,0,3,4,2,16
20271,4,1,4,5,3,17
20272,5,2,5,6,4,18
20273,6,3,6,7,5,19
20274,0,4,0,8,6,0
20275,1,5,1,9,7,1
20276,2,0,2,10,8,2
20277,3,1,3,0,9,3
20278,4,2,4,1,10,4
20279,5,3,5,2,11,5
20280,6,4,6,3,12,6
20281,0,0,0,4,13,7
20282,1,1,1,5,0,8
20283,2,2,2,6,1,9
20284,3,3,3,7,2,10
20285,4,4,4,8,3,11
20286,0,0,5,9,4,12
20287,1,1,6,0,5,13
20288,2,2,7,1,6,14
20289,3,3,0,2,7,15
20290,4,4,1,3,8,16
20291,0,0,2,4,9,17
20292,1,1,3,5,10,18
20293,2,2,4,0,11,19
20294,3,3,5,1,12,20
20295,4,4,6,2,0,21
20296,0,0,0,3,1,22
20297,1,1,1,4,2,23
20298,2,2,2,0,3,24
20299,3,3,3,1,4,0
20300,4,4,4,2,5,1
20301,5,5,5,3,6,2
20302,0,0,0,4,7,3
20303,1,1,1,5,8,4
20304,2,2,2,6,9,5
20305,3,3,3,7,10,6
20306,4,4,4,8,11,7
20307,5,5,5,9,12,8
20308,0,0,0,0,13,9
20309,1,1,1,1,14,10
20310,2,2,2,2,0,11
20311,3,3,3,3,1,12
20312,4,4,4,4,2,13
20313,5,5,5,5,3,14
20314,0,0,0,6,4,0
20315,1,1,1,7,5,1
20316,2,2,2,8,6,2
20317,3,3,3,9,7,3
20318,4,4,4,0,8,4
20319,5,5,5,1,9,5
20320,0,0,6,2,10,6
20321,1,1,0,3,11,7
20322,2,2,1,4,12,8
20323,3,3,2,5,0,9
20324,4,4,3,6,1,10
20325,5,5,4,7,2,11
20326,6,6,5,8,3,12
20327,0,0,6,9,4,13
20328,1,1,0,0,5,14
20329,2,2,1,1,6,15
20330,3,3,2,2,7,16
20331,4,4,3,3,8,17
20332,0,0,4,4,9,18
20333,1,1,5,5,10,19
20334,2,2,6,6,11,20
20335,3,3,0,7,0,21
20336,4,4,1,8,1,22
20337,5,5,2,9,2,23
20338,0,0,3,10,3,24
20339,1,1,4,0,4,25
20340,2,2,5,1,5,26
20341,3,3,6,2,6,27
20342,4,4,0,3,7,0
20343,0,0,1,4,8,1
20344,1,1,2,5,9,2
20345,2,2,3,6,10,3
20346,3,3,4,7,11,4
20347,4,4,5,8,12,5
20348,5,5,6,0,13,6
20349,0,0,0,1,0,7
20350,1,1,1,2,1,8
20351,2,2,2,3,2,9
20352,3,3,3,4,3,10
20353,4,4,4,5,4,11
20354,5,5,5,6,5,0
20355,0,6,6,7,6,1
20356,0,0,0,8,7,2
20357,1,1,1,9,8,3
20358,2,2,2,10,9,4
20359,3,3,3,0,10,5
20360,4,4,4,1,11,6
20361,0,0,5,2,12,7
20362,1,1,6,3,13,8
20363,2,2,7,4,14,9
20364,3,3,0,5,15,10
20365,4,4,1,6,0,11
20366,5,5,2,7,1,12
20367,6,6,3,8,2,13
20368,0,0,4,9,3,14
20369,1,1,5,10,4,15
20370,2,2,6,0,5,16
20371,3,3,0,1,6,17
20372,4,4,1,2,7,18
20373,0,0,2,3,8,19
20374,1,1,3,4,9,20
20375,2,2,4,5,10,21
20376,3,3,5,6,0,22
20377,4,4,6,7,1,23
20378,0,0,0,8,2,0
20379,1,1,1,9,3,1
20380,2,2,2,10,4,2
20381,3,3,3,0,5,3
20382,4,4,4,1,6,4
20383,5,5,5,2,7,5
20384,0,0,0,3,8,6
20385,1,1,1,4,9,7
20386,2,2,2,5,10,8
20387,3,3,3,6,11,9
20388,4,4,4,7,12,10
20389,5,5,5,8,13,11
20390,0,0,0,9,0,12
20391,1,1,1,10,1,13
20392,2,2,2,0,2,14
20393,3,3,3,1,3,15
20394,4,4,4,2,4,0
20395,5,5,5,3,5,1
20396,6,6,6,4,6,2
20397,0,0,0,5,7,3
20398,1,1,1,6,8,4
20399,2,2,2,7,9,5
20400,3,3,3,8,10,6
20401,4,4,4,9,11,7
20402,5,5,5,10,0,8
20403,0,0,0,11,1,9
20404,1,1,1,0,2,10
20405,2,2,2,1,3,11
20406,3,3,3,2,4,12
20407,4,4,4,3,5,13
20408,5,5,5,4,6,14
20409,6,6,6,5,7,15
20410,0,0,0,6,8,16
20411,1,1,1,7,0,17
20412,2,2,2,8,1,18
20413,3,3,3,9,2,19
20414,4,4,4,0,3,20
20415,5,5,5,1,4,21
20416,0,0,0,2,5,22
20417,1,1,1,3,6,23
20418,2,2,2,4,7,0
20419,3,3,3,5,8,1
20420,4,4,4,6,9,2
20421,0,0,5,7,10,3
20422,1,1,6,8,11,4
20423,2,2,0,9,12,0
20424,3,3,1,10,0,1
20425,4,4,2,0,1,2
20426,5,5,3,1,2,3
20427,0,0,4,2,3,4
20428,1,1,5,3,4,5
20429,2,2,6,4,5,6
20430,3,3,7,5,6,7
20431,4,4,0,6,7,8
20432,5,5,1,7,8,9
20433,6,6,2,8,9,10
20434,0,0,3,9,10,11
20435,1,1,4,0,11,12
20436,2,2,5,1,12,13
20437,3,3,0,2,13,14
20438,4,4,1,3,14,15
20439,0,0,2,4,15,0
20440,1,1,3,5,0,1
20441,2,2,4,6,1,2
20442,3,3,5,7,2,3
20443,0,4,0,8,3,4
20444,1,5,1,0,4,5
20445,0,0,2,1,5,6
20446,1,1,3,2,6,7
20447,2,2,4,3,7,8
20448,3,3,5,4,8,9
20449,0,4,0,5,9,10
20450,1,5,1,6,10,11
20451,2,0,2,7,11,12
20452,3,1,3,8,12,13
20453,4,2,4,9,13,14
20454,5,3,5,0,0,15
20455,6,4,0,1,1,16
20456,0,0,1,2,2,17
20457,1,1,2,3,3,18
20458,2,0,3,4,4,19
20459,3,1,4,5,5,20
20460,4,2,5,6,6,21
20461,5,3,6,7,7,22
20462,0,0,0,8,8,23
20463,1,1,1,9,9,0
20464,2,2,2,10,10,1
20465,3,3,3,0,11,2
20466,4,4,4,1,12,3
20467,5,5,5,2,13,4
20468,6,6,6,3,0,5
20469,0,0,0,4,1,6
20470,1,1,1,5,2,7
20471,2,2,2,6,3,8
20472,3,3,3,7,4,9
20473,4,4,4,8,5,10
20474,5,5,5,9,6,11
20475,0,0,0,10,7,12
20476,1,1,1,11,8,13
20477,2,2,2,0,9,14
20478,3,3,3,1,10,15
20479,4,4,4,2,11,16
20480,5,5,5,3,12,17
20481,6,6,6,4,13,18
20482,0,0,0,5,14,19
20483,1,1,1,6,0,20
20484,2,2,2,7,1,21
20485,3,3,3,0,2,22
20486,4,4,4,1,3,0
20487,0,0,5,2,4,1
20488,1,1,6,3,5,2
20489,2,2,0,4,6,3
20490,3,3,1,5,7,4
20491,4,4,2,6,8,5
20492,5,5,3,7,9,6
20493,0,0,4,8,10,7
20494,1,1,5,9,11,8
20495,2,2,6,10,12,9
20496,3,3,0,0,13,10
20497,4,4,1,1,0,11
20498,5,5,2,2,1,12
20499,0,0,3,3,2,13
20500,1,1,4,4,3,14
20501,2,2,5,5,4,15
20502,3,3,6,6,5,16
20503,4,4,0,7,6,17
20504,5,5,1,8,7,0
20505,0,0,2,9,8,1
20506,1,1,3,10,9,2
20507,2,2,0,11,10,3
20508,3,3,1,0,11,4
20509,0,0,2,1,12,5
20510,1,1,3,2,0,6
20511,2,2,4,3,1,7
20512,3,3,5,4,2,8
20513,4,4,6,5,3,9
20514,0,0,0,6,4,10
20515,1,1,1,7,5,11
20516,2,2,2,8,6,12
20517,3,3,3,9,7,13
20518,4,4,4,10,8,14
20519,5,5,5,0,9,15
20520,0,0,0,1,10,16
20521,1,1,1,2,11,17
20522,2,2,2,3,12,18
20523,3,3,3,4,13,19
20524,4,4,4,5,0,20
20525,5,5,5,6,1,21
20526,6,6,6,7,2,22
20527,0,0,0,8,3,23
20528,1,1,1,9,4,0
20529,2,2,2,0,5,1
20530,3,3,3,1,6,2
20531,4,4,4,2,7,3
20532,5,5,5,3,8,4
20533,0,0,0,4,9,5
20534,1,1,1,5,10,6
20535,2,2,2,6,11,7
20536,3,3,3,7,12,8
20537,4,4,4,8,0,9
20538,5,5,5,9,1,10
20539,0,0,0,10,2,11
20540,1,1,1,11,3,12
20541,2,2,2,0,4,13
20542,3,3,3,1,5,14
20543,4,4,4,2,6,15
20544,5,5,5,3,7,16
20545,0,0,0,4,8,0
20546,1,1,1,5,9,1
20547,2,2,2,6,10,2
20548,3,3,3,7,11,3
20549,4,4,4,8,12,4
20550,5,5,5,9,13,5
20551,0,0,6,10,14,6
20552,1,1,0,0,15,7
20553,2,2,1,1,0,8
20554,3,3,2,2,1,9
20555,4,4,3,3,2,10
20556,5,5,4,4,3,11
20557,0,0,5,5,4,12
20558,1,1,6,6,5,13
20559,2,2,7,7,6,14
20560,3,3,0,8,7,15
20561,4,4,1,9,8,16
20562,5,5,2,10,9,17
20563,0,0,3,0,10,18
20564,1,1,4,1,11,19
20565,2,2,5,2,0,20
20566,3,3,6,3,1,21
20567,4,4,0,4,2,22
20568,5,5,1,5,3,23
20569,0,0,2,6,4,24
20570,1,1,3,7,5,25
20571,2,2,4,8,6,26
20572,3,3,5,9,7,27
20573,4,4,0,10,8,28
20574,5,5,1,0,9,29
20575,0,0,2,1,10,30
20576,1,1,3,2,11,31
20577,2,2,4,3,12,32
20578,3,3,5,4,13,33
20579,4,4,6,5,0,34
20580,0,5,0,6,1,35
20581,1,6,1,7,2,36
20582,2,7,2,8,3,37
20583,3,0,3,9,4,38
20584,4,1,4,0,5,39
20585,5,2,5,1,6,40
20586,0,3,6,2,7,41
20587,1,4,7,3,8,42
20588,2,5,0,4,9,0
20589,0,0,1,5,10,1
20590,1,1,2,6,11,2
20591,2,2,3,7,12,3
20592,0,3,4,8,13,4
20593,1,4,5,9,0,5
20594,2,5,0,10,1,6
20595,3,0,1,0,2,7
20596,4,1,2,1,3,8
20597,5,2,3,2,4,9
20598,0,3,4,3,5,10
20599,1,4,5,4,6,11
20600,2,5,6,5,7,12
20601,0,0,0,6,8,13
20602,1,1,1,7,9,14
20603,2,2,2,8,10,15
20604,0,3,3,9,11,16
20605,1,4,4,10,12,17
20606,2,5,5,0,13,18
20607,3,0,6,1,0,19
20608,4,1,0,2,1,20
20609,5,2,1,3,2,21
20610,6,3,2,4,3,22
20611,7,4,3,5,4,23
20612,8,5,4,6,5,24
20613,0,0,5,7,6,25
20614,1,1,6,0,0,26
20615,2,2,0,1,1,27
20616,3,3,1,2,2,28
20617,4,4,2,3,3,29
20618,5,5,3,4,4,30
20619,0,0,4,5,5,31
20620,1,1,5,6,6,32
20621,2,2,0,7,7,33
20622,3,3,1,8,8,34
20623,4,4,2,9,9,35
20624,5,5,3,0,10,36
20625,0,0,4,1,11,37
20626,1,1,5,2,12,38
20627,2,2,6,3,0,39
20628,3,3,7,4,1,40
20629,4,4,0,5,2,41
20630,5,5,1,6,3,42
20631,0,0,2,7,4,43
20632,1,1,3,8,5,44
20633,2,2,4,9,6,45
20634,3,3,5,10,7,46
20635,4,4,0,0,8,0
20636,5,5,1,1,9,1
20637,0,0,2,2,10,2
20638,1,1,3,3,11,3
20639,2,2,4,4,12,4
20640,3,3,5,5,0,5
20641,4,4,6,6,1,6
20642,5,5,0,7,2,7
20643,0,0,1,8,3,8
20644,1,1,2,9,4,9
20645,2,2,3,10,5,10
20646,3,3,4,11,6,11
20647,4,4,5,0,7,12
20648,0,0,0,1,8,13
20649,1,1,1,2,9,14
20650,2,2,2,3,10,15
20651,3,3,3,4,0,16
20652,4,4,4,5,1,17
20653,5,5,5,6,2,18
20654,0,0,6,7,3,19
20655,1,1,0,8,4,20
20656,2,2,1,9,5,21
20657,3,3,2,10,6,22
20658,4,4,3,0,7,23
20659,0,0,4,1,8,24
20660,1,1,5,2,9,0
20661,2,2,0,3,10,1
20662,3,3,1,4,11,2
20663,4,4,2,5,12,3
20664,5,5,3,6,13,4
20665,0,6,4,7,0,5
20666,1,7,5,8,1,6
20667,2,8,0,9,2,7
20668,0,0,1,0,3,8
20669,1,1,2,1,4,9
20670,2,2,3,2,5,10
20671,3,3,4,3,6,11
20672,4,4,5,4,7,12
20673,5,5,6,5,8,0
20674,0,0,7,6,9,1
20675,1,1,0,7,10,2
20676,2,2,1,8,0,3
20677,3,3,2,9,1,4
20678,4,4,3,10,2,5
20679,5,5,4,0,3,6
20680,0,0,5,1,4,7
20681,1,1,6,2,5,8
20682,2,2,0,3,6,9
20683,3,3,1,4,7,10
20684,4,4,2,5,8,11
20685,5,5,3,6,9,12
20686,0,0,4,7,10,13
20687,1,1,5,8,11,14
20688,2,2,6,9,12,15
20689,3,3,0,0,13,16
20690,4,4,1,1,14,17
20691,5,5,2,2,0,18
20692,6,6,3,3,1,19
20693,0,0,4,4,2,20
20694,1,1,5,5,3,21
20695,2,2,6,6,4,22
20696,3,3,0,7,5,23
20697,4,4,1,8,6,24
20698,5,5,2,9,7,25
20699,0,0,3,0,8,26
20700,1,1,4,1,9,0
20701,2,2,5,2,10,1
20702,3,3,6,3,11,2
20703,4,4,7,4,12,3
20704,5,5,0,5,13,0
20705,6,6,1,6,14,1
20706,0,0,2,7,15,2
20707,1,1,3,8,0,3
20708,2,2,4,9,1,4
20709,3,3,0,10,2,5
20710,4,4,1,11,3,6
20711,5,5,2,0,4,7
20712,0,0,3,1,5,8
20713,1,1,4,2,6,9
20714,2,2,5,3,7,10
20715,3,3,6,4,8,11
20716,4,4,7,5,9,12
20717,5,5,0,6,10,13
20718,0,0,1,7,11,14
20719,1,1,2,8,12,15
20720,2,2,3,0,13,16
20721,3,3,4,1,14,17
20722,4,4,5,2,0,18
20723,0,0,0,3,1,19
20724,1,1,1,4,2,20
20725,2,2,2,5,3,21
20726,3,3,3,6,4,0
20727,4,4,4,7,5,1
20728,0,0,5,8,6,2
20729,1,1,6,9,7,3
20730,2,2,0,0,8,4
20731,3,3,1,1,9,5
20732,4,4,2,2,10,6
20733,5,5,3,3,11,7
20734,0,0,4,4,12,8
20735,1,1,5,5,0,9
20736,2,2,6,6,1,10
20737,3,3,0,7,2,11
20738,4,4,1,8,3,12
20739,5,5,2,9,4,13
20740,0,0,3,10,5,14
20741,1,1,4,0,6,15
20742,2,2,5,1,7,16
20743,3,3,6,2,8,17
20744,4,4,0,3,9,18
20745,5,5,1,4,10,19
20746,0,0,2,5,11,20
20747,1,1,3,6,12,21
20748,2,2,4,7,13,0
20749,3,3,5,8,0,1
20750,4,4,0,9,1,2
20751,5,5,1,10,2,3
20752,6,6,2,0,3,4
20753,0,0,3,1,4,5
20754,1,1,4,2,5,6
20755,2,2,5,3,6,7
20756,3,3,6,4,7,8
20757,4,4,0,5,8,9
20758,5,5,1,6,9,10
20759,0,0,2,7,10,0
20760,1,1,3,8,11,1
20761,2,2,4,9,12,2
20762,3,3,5,10,13,3
20763,0,4,0,0,14,4
20764,1,0,1,1,0,5
20765,2,1,2,2,1,6
20766,3,2,3,3,2,7
20767,4,3,4,4,3,8
20768,5,4,5,5,4,9
20769,0,0,6,6,5,10
20770,1,1,0,7,6,11
20771,2,2,1,8,0,12
20772,3,3,2,9,1,13
20773,4,4,3,10,2,14
20774,5,5,4,0,3,15
20775,6,6,5,1,4,16
20776,0,0,6,2,5,17
20777,1,1,7,3,0,18
20778,2,2,0,4,1,19
20779,3,3,1,5,2,20
20780,4,4,2,6,3,21
20781,5,5,3,7,4,22
20782,0,0,4,8,5,23
20783,1,1,5,9,6,24
20784,2,2,0,10,7,0
20785,3,3,1,0,0,1
20786,4,4,2,1,1,2
20787,5,5,3,2,2,3
20788,0,0,4,3,3,4
20789,1,1,5,4,4,5
20790,2,2,6,5,5,6
20791,3,3,7,6,6,7
20792,4,4,0,7,0,8
20793,5,5,1,8,1,9
20794,0,0,2,0,2,10
20795,1,1,3,1,3,11
20796,2,2,4,2,4,12
20797,3,3,5,3,5,13
20798,4,4,6,4,6,14
20799,5,5,0,5,7,15
20800,0,0,1,6,8,16
20801,1,1,2,7,9,17
20802,2,2,3,0,10,18
20803,3,3,4,1,11,19
20804,4,4,5,2,12,20
20805,0,0,0,3,13,21
20806,1,1,1,4,0,0
20807,2,2,2,5,1,1
20808,3,3,3,6,2,2
20809,4,4,4,7,3,3
20810,5,5,5,8,4,4
20811,0,0,6,9,5,5
20812,1,1,7,0,6,6
20813,2,2,0,1,7,7
20814,3,3,1,2,8,8
20815,4,4,2,3,9,9
20816,5,5,3,4,10,10
20817,0,0,4,5,11,11
20818,1,1,5,6,12,12
20819,2,2,6,7,13,13
20820,3,3,0,0,14,0
20821,4,4,1,1,15,1
20822,5,5,2,2,0,2
20823,0,0,3,3,1,3
20824,1,1,4,4,2,4
20825,2,2,5,5,3,5
20826,3,3,6,6,4,6
20827,4,4,0,7,5,7
20828,5,5,1,8,6,8
20829,6,6,2,9,7,9
20830,0,0,3,10,8,10
20831,1,1,4,11,9,11
20832,2,2,5,0,10,12
20833,3,3,6,1,11,13
20834,0,0,0,2,12,14
20835,1,1,1,3,13,15
20836,2,2,2,4,0,16
20837,3,3,3,5,1,17
20838,4,4,4,6,2,18
20839,0,5,5,7,3,19
20840,1,6,6,8,4,20
20841,2,0,0,9,5,21
20842,3,1,1,10,6,22
20843,4,2,2,0,7,23
20844,5,3,3,1,8,0
20845,6,4,4,2,9,1
20846,0,0,5,3,10,2
20847,1,1,6,4,11,3
20848,2,2,0,5,12,4
20849,3,3,1,6,13,5
20850,4,0,2,7,0,6
20851,0,0,3,8,1,0
20852,1,1,4,9,2,1
20853,2,2,5,10,3,2
20854,3,3,6,0,4,3
