,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West)
143,1,1,4,4,2,4
144,2,2,5,5,3,5
145,3,3,6,6,4,6
146,4,4,0,7,5,7
147,0,0,1,8,6,8
148,1,1,2,9,7,9
149,2,2,3,10,8,10
150,3,3,4,0,9,11
151,4,0,5,1,10,12
152,5,1,6,2,11,13
153,0,0,0,3,12,14
154,1,1,1,4,13,0
155,2,2,2,5,0,1
156,3,3,3,6,1,2
157,0,0,4,7,2,3
158,1,1,5,8,3,4
159,2,2,6,9,4,5
160,0,3,0,0,5,6
161,1,4,1,1,6,7
162,2,5,2,2,7,8
163,3,6,3,3,8,9
164,4,7,4,4,9,10
165,0,0,5,5,10,11
166,1,1,6,6,11,12
167,2,2,0,7,12,13
168,3,3,1,8,13,14
169,4,4,2,9,0,15
170,5,5,3,10,1,16
171,0,0,4,0,2,17
172,1,1,5,1,3,18
173,2,2,6,2,4,19
174,3,3,7,3,5,20
175,4,4,0,4,6,0
176,5,5,1,5,7,1
177,0,0,2,6,8,2
178,1,1,3,7,9,3
179,2,2,4,8,10,4
180,3,3,5,9,11,5
181,4,4,6,10,12,6
182,0,5,0,0,13,7
183,1,0,1,1,0,8
184,2,1,2,2,1,9
185,3,2,3,3,2,10
186,4,3,4,4,3,11
187,0,4,5,5,4,12
188,1,5,6,6,5,13
189,2,0,0,7,6,14
190,3,1,1,8,7,15
191,4,2,2,9,8,16
192,5,3,3,10,9,17
193,0,0,4,11,10,18
194,1,1,5,0,11,19
195,2,2,0,1,12,0
196,3,0,1,2,13,1
197,4,1,2,3,0,2
198,5,2,3,4,1,3
199,0,0,4,5,2,4
200,1,1,5,6,3,5
201,2,2,6,7,4,6
202,3,0,0,0,5,7
203,4,1,1,1,6,8
204,5,2,2,2,7,9
205,0,0,3,3,8,10
206,1,1,4,4,9,11
207,2,2,5,5,10,12
208,3,3,6,6,11,13
209,4,0,7,7,0,14
210,0,1,0,8,1,15
211,1,2,1,0,2,0
212,2,3,2,1,3,1
213,3,4,3,2,4,2
214,4,5,4,3,5,3
215,0,0,5,4,6,4
216,1,1,6,5,7,5
217,0,2,0,6,8,6
218,1,3,1,7,9,7
219,2,4,2,8,10,8
220,3,5,3,0,11,9
221,0,0,4,1,12,10
222,1,1,5,2,13,11
223,2,2,6,3,14,12
224,3,3,0,4,0,13
225,4,4,1,5,1,14
226,5,5,2,6,2,15
227,0,0,3,7,3,16
228,1,1,4,8,4,17
229,2,2,5,9,5,18
230,3,3,0,10,6,19
231,4,4,1,0,7,20
232,5,5,2,1,8,21
233,0,0,3,2,9,22
234,1,1,4,3,10,23
235,2,2,5,4,11,24
236,3,3,6,5,12,25
237,4,4,0,6,0,26
238,0,5,1,7,1,27
239,1,0,2,8,2,28
240,2,1,3,0,3,29
241,3,2,4,1,4,30
242,4,3,5,2,5,31
243,5,4,6,3,6,32
244,0,0,0,4,7,0
245,1,1,1,5,8,1
246,2,2,2,6,9,2
247,3,3,3,7,10,3
248,4,4,4,8,11,4
249,0,0,0,9,12,5
250,1,1,1,10,0,6
251,2,2,2,11,1,7
252,3,3,3,0,2,8
253,4,4,4,1,3,9
254,5,5,5,2,4,10
255,6,6,6,3,5,11
256,0,0,0,4,6,12
257,1,1,1,5,7,13
258,2,2,2,6,8,0
259,3,3,3,7,0,1
260,4,4,4,8,1,2
261,5,5,5,9,2,3
262,0,0,0,0,3,4
263,1,1,1,1,4,5
264,2,2,2,2,5,6
265,3,3,3,3,6,7
266,4,4,4,4,7,8
267,5,5,5,5,8,9
268,0,0,6,6,9,10
269,1,1,0,7,10,11
270,2,2,1,8,11,12
271,3,3,2,9,12,13
272,4,4,3,0,13,14
273,5,5,4,1,14,15
274,0,0,5,2,0,16
275,1,1,6,3,1,17
276,2,2,0,4,2,18
277,3,3,1,5,3,19
278,4,4,2,6,4,20
279,5,5,3,7,5,21
280,6,6,4,8,6,22
281,0,0,5,9,7,0
282,1,1,6,10,8,1
283,2,2,0,0,9,2
284,3,3,1,1,0,3
285,4,4,2,2,1,4
286,0,0,3,3,2,5
287,1,1,4,4,3,6
288,2,2,5,5,4,7
289,3,3,0,6,5,8
290,4,4,1,7,6,9
291,5,5,2,8,7,10
292,0,0,3,9,8,11
293,1,1,4,0,9,12
294,2,2,5,1,10,13
295,3,3,6,2,11,14
296,4,4,0,3,12,15
297,5,5,1,4,13,16
298,0,0,2,5,0,17
299,1,1,3,6,1,18
300,2,2,4,7,2,19
301,3,3,5,8,3,20
302,4,4,6,0,4,21
303,5,5,0,1,5,22
304,0,0,1,2,6,23
305,1,1,2,3,7,24
306,2,2,3,4,8,25
307,3,3,4,5,9,26
308,4,4,5,6,10,27
309,5,5,6,7,11,28
310,0,0,0,8,12,29
311,1,1,1,0,13,30
312,2,2,2,1,0,31
313,3,3,3,2,1,32
314,4,4,4,3,2,33
315,0,0,0,4,3,34
316,1,1,1,5,4,0
317,2,2,2,6,5,1
318,3,3,3,7,6,2
319,4,4,4,8,7,3
320,5,5,5,9,8,4
321,0,0,0,0,9,5
322,1,1,1,1,10,6
323,2,2,2,2,11,7
324,3,3,3,3,12,8
325,4,4,4,4,13,9
326,5,5,5,5,14,10
327,0,0,0,6,0,11
328,1,1,1,7,1,12
329,2,2,2,8,2,13
330,3,3,3,9,3,14
331,4,4,4,0,4,15
332,5,5,5,1,5,16
333,6,6,6,2,6,17
334,0,0,0,3,7,18
335,1,1,1,4,8,19
336,2,2,2,5,9,20
337,3,3,3,6,10,21
338,4,4,4,7,11,22
339,5,5,5,8,12,23
340,0,0,0,9,0,0
341,1,1,1,10,1,1
342,2,2,2,11,2,2
343,3,3,3,0,3,3
344,4,4,4,1,4,4
345,5,5,5,2,5,5
346,0,0,0,3,6,6
347,1,1,1,4,7,7
348,2,2,2,5,8,8
349,3,3,3,6,9,9
350,4,4,4,7,10,10
351,5,5,5,0,11,11
352,0,0,0,1,12,12
353,1,1,1,2,13,13
354,2,2,2,3,14,14
355,3,3,3,4,0,15
356,4,4,4,5,1,16
357,5,5,5,6,2,17
358,0,0,0,7,3,0
359,1,1,1,8,4,1
360,2,2,2,0,5,2
361,3,3,3,1,6,3
362,4,4,4,2,7,4
363,5,5,5,3,8,5
364,0,0,0,4,9,6
365,1,1,1,5,10,7
366,2,2,2,6,11,8
367,3,3,3,7,12,9
368,4,4,4,8,13,10
369,5,5,5,0,14,11
370,6,6,6,1,0,12
371,0,0,0,2,1,13
372,1,1,1,3,2,14
373,2,2,2,4,3,15
374,3,3,3,5,4,16
375,4,4,4,6,5,17
376,5,5,5,7,6,18
377,0,0,0,8,7,19
378,1,1,1,9,8,20
379,2,2,2,10,9,21
380,3,3,3,0,10,22
381,4,4,4,1,11,23
382,5,5,5,2,12,24
383,0,0,0,3,13,25
384,1,1,1,4,14,26
385,2,2,2,5,15,27
386,3,3,3,6,0,0
387,4,4,4,7,1,1
388,0,0,5,8,2,2
389,1,1,0,9,3,0
390,2,2,1,10,4,1
391,3,3,2,0,5,2
392,4,4,3,1,6,3
393,5,5,4,2,7,4
394,0,0,5,3,8,5
395,1,1,6,4,9,6
396,2,2,7,5,10,7
397,3,3,0,6,11,8
398,4,4,1,7,12,9
399,0,5,2,8,13,10
400,1,0,3,9,14,11
401,2,1,4,10,0,12
402,3,2,5,11,1,0
403,0,3,6,0,2,1
404,1,4,0,1,3,2
405,2,5,1,2,4,3
406,3,6,2,3,5,4
407,0,0,3,4,6,5
408,1,1,4,5,7,6
409,2,2,5,6,8,7
410,3,0,0,7,9,8
411,4,1,1,8,10,9
412,0,0,2,9,11,10
413,1,1,3,0,12,11
414,2,2,4,1,13,12
415,3,3,5,2,14,13
416,4,4,6,3,0,14
417,0,0,0,4,1,15
418,1,1,1,5,2,16
419,2,2,2,6,3,17
420,3,3,3,7,4,18
421,4,4,4,8,5,19
422,0,0,5,9,6,20
423,1,1,6,10,7,21
424,2,2,0,0,8,22
425,3,3,1,1,9,23
426,4,4,2,2,10,24
427,5,5,3,3,11,0
428,0,0,4,4,12,1
429,1,1,5,5,13,2
430,2,2,0,6,14,0
431,3,3,1,7,0,1
432,4,4,2,8,1,2
433,5,5,3,9,2,3
434,0,0,4,10,3,4
435,1,1,5,0,4,5
436,2,2,6,1,5,6
437,3,3,0,2,6,7
438,4,4,1,3,7,8
439,5,5,2,4,8,9
440,0,0,3,5,9,10
441,1,1,4,6,10,11
442,2,2,5,7,11,12
443,3,3,6,8,12,13
444,4,4,7,9,13,14
445,0,5,0,10,14,15
446,1,6,1,11,0,16
447,0,0,2,0,1,0
448,1,1,3,1,2,1
449,2,2,4,2,3,2
450,3,3,5,3,4,3
451,0,4,0,4,5,4
452,1,5,1,5,6,5
453,2,6,2,6,7,6
454,3,0,3,7,8,7
455,4,1,4,8,9,8
456,5,2,5,0,10,9
457,0,3,0,1,11,10
458,1,4,1,2,12,11
459,2,5,2,3,13,12
460,3,0,3,4,14,13
461,4,1,4,5,0,14
462,5,2,5,6,1,15
463,0,3,6,7,2,16
464,1,4,0,8,3,0
465,2,5,1,9,4,1
466,3,6,2,10,5,2
467,0,0,3,0,6,3
468,1,1,4,1,7,4
469,0,2,5,2,8,5
470,1,3,6,3,9,6
471,2,4,0,4,10,7
472,3,5,1,5,11,8
473,0,0,2,6,12,9
474,1,1,3,7,13,10
475,2,2,0,8,0,11
476,3,3,0,9,1,12
477,4,4,1,0,2,13
478,0,0,2,1,3,14
479,1,1,3,2,4,15
480,2,2,0,3,5,16
481,3,3,1,4,6,17
482,4,4,2,5,7,18
483,5,5,3,6,8,19
484,6,6,4,7,9,20
485,0,0,5,8,10,21
486,1,1,0,9,11,22
487,2,2,1,10,12,23
488,3,3,2,0,13,24
489,4,4,3,1,14,25
490,0,0,4,2,0,26
491,1,1,5,3,1,27
492,2,2,6,4,2,28
493,3,3,0,5,3,29
494,4,4,1,6,4,30
495,5,5,2,7,5,31
496,6,6,3,8,6,32
497,0,0,4,9,7,33
498,1,1,5,0,8,34
499,2,2,6,1,9,35
500,3,3,7,2,10,36
501,4,4,0,3,11,0
502,5,5,1,4,12,1
503,0,0,2,5,13,2
504,1,1,3,6,14,3
505,2,2,4,7,0,4
506,3,3,5,8,1,5
507,4,4,0,9,2,6
508,5,5,1,0,3,7
509,0,0,2,1,4,8
510,1,1,3,2,5,0
511,2,2,4,3,6,1
512,3,3,5,4,7,2
513,0,0,0,5,8,3
514,1,1,1,6,9,4
515,2,2,2,7,0,5
516,3,3,3,8,1,6
517,4,4,4,0,2,7
518,5,5,5,1,3,8
