,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
788,1,1,0,1,0,0,0
789,0,0,0,0,0,0,1
790,0,0,0,1,0,0,0
791,0,0,0,0,0,0,1
792,0,0,0,1,0,0,1
793,0,0,0,0,1,0,1
794,1,1,1,0,0,0,0
795,1,1,1,1,0,0,0
796,0,0,1,0,1,0,1
797,1,1,0,0,1,1,1
798,1,1,0,1,0,0,0
799,1,1,0,0,0,0,0
800,0,0,0,0,0,0,1
801,1,1,1,0,1,0,0
802,2,1,1,0,0,0,0
803,1,0,1,0,0,0,0
804,1,1,0,0,0,0,0
805,0,0,1,0,0,1,1
806,1,1,1,0,1,1,0
807,1,1,0,1,0,0,0
808,0,0,1,1,0,0,1
809,1,0,0,0,0,0,0
810,1,0,0,0,0,0,0
811,0,0,0,0,1,0,1
812,1,1,0,1,1,0,0
813,1,1,0,1,0,0,1
814,1,1,0,1,0,0,0
815,1,1,1,0,0,0,0
816,0,0,0,0,0,0,1
817,1,0,0,1,0,0,1
818,1,1,1,1,0,1,0
819,1,1,0,1,0,0,1
820,1,1,1,1,0,0,1
821,0,0,1,1,0,0,1
822,0,0,1,0,0,0,0
823,0,0,0,0,0,0,0
824,1,1,1,0,1,0,1
825,0,0,1,1,0,1,1
826,1,1,0,1,0,0,0
827,0,0,0,0,0,0,0
828,1,1,0,0,0,1,1
829,1,1,0,1,0,0,1
830,0,1,0,0,0,0,1
831,1,1,0,0,0,0,1
832,1,1,1,0,0,0,1
833,0,0,1,0,0,0,1
834,1,1,1,1,0,0,0
835,0,1,1,1,1,1,1
836,0,0,1,1,0,0,1
837,0,0,0,1,0,0,1
838,1,1,0,0,0,0,0
839,1,1,0,0,0,0,0
840,0,0,0,0,0,0,1
841,0,0,1,0,0,0,0
842,1,1,0,1,0,1,0
843,0,0,1,1,1,0,1
844,1,1,1,0,0,0,1
845,1,1,0,1,1,0,0
846,1,1,1,0,0,0,1
847,1,1,1,0,0,1,1
848,0,0,0,0,0,0,0
849,1,1,1,0,0,0,0
850,0,0,0,1,0,0,1
851,0,0,1,1,0,0,0
852,1,1,1,1,0,0,0
853,1,1,1,0,0,0,0
854,1,1,1,1,0,0,0
