,San Andreas (Carrizo) rev,San Andreas (Cholame) rev,San Andreas (Mojave S),San Andreas (Coachella) rev,San Jacinto (Anza) rev,Garlock (West),0
532,0,0,1,0,0,0,1
533,0,0,0,0,0,0,0
534,1,1,0,0,1,0,0
535,1,1,1,1,0,0,0
536,1,1,1,1,0,0,0
537,1,0,1,0,0,0,0
538,0,0,0,0,0,0,0
539,1,1,1,0,0,0,0
540,1,1,1,0,0,0,1
541,0,0,0,0,0,0,1
542,1,1,1,0,0,0,0
543,1,1,0,0,1,0,0
544,1,1,0,1,0,0,0
545,2,1,0,0,0,0,0
546,0,0,0,0,0,0,0
547,0,1,0,0,0,0,0
548,1,1,1,1,0,0,0
549,0,0,1,1,1,0,1
550,1,1,1,0,0,0,0
551,0,0,0,1,1,1,0
552,0,0,1,0,0,0,1
553,1,1,1,1,0,0,0
554,0,1,0,0,0,0,0
555,0,0,1,0,0,0,1
556,1,1,1,0,0,1,0
557,1,1,1,0,0,0,0
558,0,0,1,1,0,0,1
559,0,0,0,1,0,0,1
560,1,1,1,0,1,0,0
561,0,0,0,0,0,0,0
562,1,1,1,0,1,0,0
563,1,1,1,0,0,0,0
564,0,0,1,1,1,0,0
565,1,1,1,0,1,0,0
566,0,0,1,0,0,0,0
567,1,1,0,0,1,1,1
568,1,1,1,0,0,0,1
569,1,1,1,0,0,0,0
570,1,1,0,0,0,0,0
571,1,1,0,0,0,0,1
572,0,1,1,0,0,0,1
573,1,1,1,0,0,0,0
574,1,1,1,1,1,0,0
575,0,0,1,0,1,0,0
576,0,0,1,1,0,0,0
577,0,0,0,0,0,1,1
578,0,0,0,0,0,0,0
579,0,0,0,1,0,0,0
580,1,1,0,0,0,0,1
581,1,1,1,0,1,0,0
582,1,1,1,1,0,0,0
583,0,0,0,0,0,0,0
584,1,1,0,0,0,0,1
585,0,0,1,0,0,0,0
586,1,1,1,0,0,0,0
587,1,1,1,0,1,0,0
588,0,0,1,0,0,0,0
589,1,1,0,0,0,0,1
590,1,1,1,0,1,0,0
591,1,1,1,0,0,0,1
592,1,1,0,0,1,1,1
593,0,0,0,1,0,0,0
594,1,1,0,0,0,1,1
595,1,1,1,0,1,0,0
596,0,0,1,1,0,0,0
597,1,1,0,0,0,1,1
598,0,0,1,0,0,0,0
599,0,0,1,0,0,0,0
600,1,1,1,0,0,0,0
601,0,0,1,1,0,0,1
602,0,0,0,0,0,0,1
603,0,0,1,0,1,0,1
604,0,0,1,0,0,1,1
605,1,1,1,0,0,0,0
606,0,0,1,0,0,0,1
607,1,1,1,1,0,0,0
608,0,0,0,1,0,0,1
609,0,0,0,0,1,0,1
610,1,0,1,0,0,0,1
611,1,0,0,1,1,0,0
612,1,1,1,1,0,0,0
613,1,0,0,0,0,0,0
614,0,0,1,0,0,1,1
615,1,1,0,1,0,0,1
616,0,0,0,0,0,0,1
617,0,0,0,0,0,0,1
618,0,0,0,0,1,0,1
619,1,1,0,0,0,0,0
620,1,1,1,1,1,0,0
621,0,0,1,0,0,1,0
622,1,0,1,0,0,0,0
623,0,1,0,0,1,0,1
624,1,1,0,1,0,0,0
625,1,1,1,1,0,0,0
626,0,0,0,0,0,0,1
627,1,1,1,1,1,1,0
628,1,1,1,0,0,0,1
629,1,1,0,1,1,0,1
630,1,1,0,0,0,0,0
631,0,0,1,1,0,0,1
632,0,1,1,1,1,0,0
633,1,1,0,1,0,0,0
634,1,1,1,0,0,1,0
635,1,1,1,0,0,2,0
636,0,0,0,1,0,0,0
637,1,1,0,0,1,0,0
638,0,0,0,0,0,0,1
639,0,0,0,0,0,0,0
640,0,0,0,0,1,0,0
641,0,1,0,0,0,0,1
642,0,0,0,0,0,0,1
643,0,0,0,0,0,0,1
644,1,1,1,1,0,0,0
645,1,1,0,1,1,1,0
646,1,1,1,0,1,0,0
647,0,1,1,0,0,0,1
648,1,1,1,0,0,0,0
649,1,1,1,0,0,0,1
650,0,0,0,1,0,0,1
651,1,0,1,1,0,0,1
652,0,0,0,0,0,0,1
653,1,1,0,0,0,0,1
654,2,1,1,0,1,0,0
655,0,1,0,0,0,0,1
656,0,0,0,1,0,0,1
657,1,0,1,0,1,1,0
658,0,0,1,0,0,0,1
659,0,0,1,0,1,0,0
660,1,1,0,0,0,0,1
661,1,1,1,0,0,0,0
662,0,0,0,0,1,0,1
663,2,1,1,0,0,0,0
664,1,1,1,1,1,0,0
665,1,0,1,1,0,1,0
666,0,0,0,0,0,0,1
667,0,0,0,0,0,0,1
668,1,1,0,0,0,0,1
669,1,0,1,0,0,1,1
670,1,1,1,0,0,0,0
671,1,1,0,0,0,1,1
672,0,0,0,0,0,0,0
673,0,0,0,1,0,0,0
674,0,0,0,1,0,0,0
675,1,1,0,0,1,0,1
676,2,1,1,0,0,1,0
677,1,1,1,1,1,0,1
678,1,1,0,0,1,1,0
679,0,0,1,0,1,0,1
680,1,1,0,1,0,0,0
681,1,1,1,1,0,0,0
682,1,1,1,0,0,0,0
683,1,1,0,0,0,0,1
684,1,1,0,1,1,1,0
685,1,1,1,1,1,1,0
686,1,0,0,1,1,0,0
687,0,1,0,0,0,0,1
688,1,1,1,0,0,1,1
689,1,1,0,0,0,0,1
690,0,1,0,1,1,0,1
691,0,0,1,0,1,1,1
692,1,1,0,0,0,0,1
693,0,0,0,1,0,0,0
694,1,2,0,0,0,0,1
